season,date,match_name,result,h_odd,d_odd,a_odd
2010/2011,Unknown,Aston Villa vs Liverpool,1-0,3.34,3.33,2.16
2010/2011,Unknown,Bolton vs Manchester City,0-2,4.9,3.72,1.69
2010/2011,Unknown,Everton vs Chelsea,1-0,3.01,3.3,2.34
2010/2011,Unknown,Fulham vs Arsenal,2-2,3.88,3.52,1.92
2010/2011,Unknown,Manchester Utd vs Blackpool,4-2,1.42,4.8,6.78
2010/2011,Unknown,Newcastle vs West Brom,3-3,2.01,3.39,3.69
2010/2011,Unknown,Stoke vs Wigan,0-1,2.12,3.4,3.39
2010/2011,Unknown,Tottenham vs Birmingham,2-1,1.55,3.97,6.12
2010/2011,Unknown,West Ham vs Sunderland,0-3,1.9,3.58,3.88
2010/2011,Unknown,Wolves vs Blackburn,2-3,2.31,2.98,3.41
2010/2011,Unknown,Manchester City vs Stoke,3-0,1.4,4.44,8.16
2010/2011,Unknown,Arsenal vs Aston Villa,1-2,1.39,4.6,8.01
2010/2011,Unknown,Birmingham vs Fulham,0-2,2.14,3.23,3.5
2010/2011,Unknown,Liverpool vs Tottenham,0-2,1.63,3.79,5.51
2010/2011,Unknown,Wigan vs West Ham,3-2,1.85,3.62,4.11
2010/2011,Unknown,Chelsea vs Newcastle,2-2,1.21,6.19,13.44
2010/2011,Unknown,Blackburn vs Manchester Utd,1-1,6.45,3.42,1.64
2010/2011,Unknown,Blackpool vs Bolton,4-3,2.02,3.51,3.55
2010/2011,Unknown,Sunderland vs Wolves,1-3,2.92,3.23,2.45
2010/2011,Unknown,West Brom vs Everton,1-0,2.65,3.25,2.66
2010/2011,Unknown,Manchester City vs Tottenham,1-0,1.92,3.37,4.09
2010/2011,Unknown,Fulham vs Liverpool,2-5,2.76,3.19,2.6
2010/2011,Unknown,Manchester Utd vs Chelsea,2-1,2.3,3.19,3.24
2010/2011,Unknown,Stoke vs Arsenal,3-1,4.22,3.37,1.91
2010/2011,Unknown,Wolves vs West Brom,3-1,2.26,3.28,3.2
2010/2011,Unknown,Tottenham vs Blackpool,1-1,1.31,5.47,9.09
2010/2011,Unknown,Aston Villa vs Wigan,1-1,1.73,3.56,4.94
2010/2011,Unknown,Bolton vs Sunderland,1-2,1.73,3.49,5.11
2010/2011,Unknown,Everton vs Manchester City,2-1,2.5,3.2,2.87
2010/2011,Unknown,Newcastle vs Birmingham,2-1,1.85,3.41,4.47
2010/2011,Unknown,West Ham vs Blackburn,1-1,2.06,3.37,3.59
2010/2011,Unknown,Manchester City vs West Ham,2-1,1.36,4.71,8.97
2010/2011,Unknown,Arsenal vs Manchester Utd,1-0,2.62,3.22,2.73
2010/2011,Unknown,Birmingham vs Wolves,1-1,2.12,3.27,3.55
2010/2011,Unknown,Liverpool vs Newcastle,3-0,1.46,4.08,7.73
2010/2011,Unknown,Chelsea vs Tottenham,2-1,1.49,4.21,6.76
2010/2011,Unknown,Blackburn vs Bolton,1-0,1.9,3.43,4.11
2010/2011,Unknown,Blackpool vs Stoke,0-0,2.64,3.42,2.57
2010/2011,Unknown,Sunderland vs Fulham,0-3,2.74,3.13,2.66
2010/2011,Unknown,West Brom vs Aston Villa,2-1,2.46,3.24,2.89
2010/2011,Unknown,Wigan vs Everton,1-1,3.0,3.23,2.4
2010/2011,Unknown,Fulham vs Bolton,3-0,1.78,3.52,4.64
2010/2011,Unknown,Stoke vs Wolves,3-0,1.77,3.47,4.83
2010/2011,Unknown,Blackburn vs Manchester City,0-1,4.03,3.48,1.9
2010/2011,Unknown,Bolton vs Arsenal,2-1,5.4,3.84,1.63
2010/2011,Unknown,Chelsea vs West Ham,3-0,1.19,6.54,14.68
2010/2011,Unknown,Aston Villa vs Stoke,1-1,2.09,3.2,3.71
