season,date,match_name,result,h_odd,d_odd,a_odd
2011/2012,Unknown,Chelsea vs Blackburn,2-1,-400.0,505.0,994.0
2011/2012,Unknown,Everton vs Newcastle,3-1,104.0,260.0,239.0
2011/2012,Unknown,Manchester City vs QPR,3-2,-833.0,764.0,1801.0
2011/2012,Unknown,Norwich vs Aston Villa,2-0,100.0,244.0,270.0
2011/2012,Unknown,Stoke vs Bolton,2-2,112.0,276.0,208.0
2011/2012,Unknown,Sunderland vs Manchester Utd,0-1,606.0,350.0,-227.0
2011/2012,Unknown,Swansea vs Liverpool,1-0,241.0,245.0,108.0
2011/2012,Unknown,Tottenham vs Fulham,2-0,-250.0,349.0,696.0
2011/2012,Unknown,West Brom vs Arsenal,2-3,408.0,300.0,-159.0
2011/2012,Unknown,Wigan vs Wolves,3-2,-182.0,301.0,500.0
2011/2012,Unknown,Liverpool vs Chelsea,4-1,106.0,258.0,236.0
2011/2012,Unknown,Blackburn vs Wigan,0-1,173.0,242.0,149.0
2011/2012,Unknown,Manchester Utd vs Swansea,2-0,-667.0,637.0,1484.0
2011/2012,Unknown,Aston Villa vs Tottenham,1-1,312.0,247.0,-114.0
2011/2012,Unknown,Bolton vs West Brom,2-2,114.0,241.0,233.0
2011/2012,Unknown,Fulham vs Sunderland,2-1,-145.0,273.0,403.0
2011/2012,Unknown,QPR vs Stoke,1-0,-135.0,266.0,367.0
2011/2012,Unknown,Wolves vs Everton,0-0,363.0,274.0,-135.0
2011/2012,Unknown,Newcastle vs Manchester City,0-2,371.0,298.0,-147.0
2011/2012,Unknown,Arsenal vs Norwich,3-3,-500.0,559.0,1288.0
2011/2012,Unknown,Bolton vs Tottenham,1-4,330.0,272.0,-127.0
2011/2012,Unknown,Chelsea vs Newcastle,0-2,-222.0,348.0,581.0
2011/2012,Unknown,Liverpool vs Fulham,0-1,-139.0,260.0,397.0
2011/2012,Unknown,Stoke vs Everton,1-1,202.0,223.0,137.0
2011/2012,Unknown,Manchester City vs Manchester Utd,1-0,104.0,246.0,257.0
2011/2012,Unknown,Tottenham vs Blackburn,2-0,-303.0,426.0,764.0
2011/2012,Unknown,Chelsea vs QPR,6-1,-233.0,338.0,652.0
2011/2012,Unknown,Norwich vs Liverpool,0-3,345.0,272.0,-132.0
2011/2012,Unknown,Everton vs Fulham,4-0,-125.0,248.0,365.0
2011/2012,Unknown,Stoke vs Arsenal,1-1,333.0,250.0,-119.0
2011/2012,Unknown,Sunderland vs Bolton,2-2,-102.0,244.0,279.0
2011/2012,Unknown,Swansea vs Wolves,4-4,-200.0,312.0,559.0
2011/2012,Unknown,West Brom vs Aston Villa,0-0,112.0,231.0,249.0
2011/2012,Unknown,Wigan vs Newcastle,4-0,162.0,237.0,162.0
2011/2012,Unknown,Aston Villa vs Bolton,1-2,102.0,236.0,273.0
2011/2012,Unknown,Liverpool vs West Brom,0-1,-263.0,358.0,739.0
2011/2012,Unknown,Wolves vs Manchester City,0-2,1355.0,563.0,-526.0
2011/2012,Unknown,Manchester Utd vs Everton,4-4,-294.0,388.0,815.0
2011/2012,Unknown,QPR vs Tottenham,1-0,258.0,243.0,104.0
2011/2012,Unknown,Aston Villa vs Sunderland,0-0,112.0,224.0,258.0
2011/2012,Unknown,Blackburn vs Norwich,2-0,-106.0,257.0,277.0
2011/2012,Unknown,Bolton vs Swansea,1-1,136.0,225.0,204.0
2011/2012,Unknown,Fulham vs Wigan,2-1,-120.0,250.0,338.0
2011/2012,Unknown,Newcastle vs Stoke,3-0,-147.0,259.0,429.0
2011/2012,Unknown,Arsenal vs Chelsea,0-0,-114.0,258.0,305.0
2011/2012,Unknown,Arsenal vs Wigan,1-2,-385.0,459.0,1033.0
2011/2012,Unknown,Manchester Utd vs Aston Villa,4-0,-526.0,576.0,1366.0
2011/2012,Unknown,Sunderland vs Wolves,0-0,-196.0,313.0,553.0
2011/2012,Unknown,Swansea vs Blackburn,3-0,-104.0,241.0,286.0
2011/2012,Unknown,West Brom vs QPR,1-0,117.0,237.0,229.0
2011/2012,Unknown,Norwich vs Manchester City,1-6,553.0,321.0,-200.0
2011/2012,Unknown,QPR vs Swansea,3-0,106.0,236.0,258.0
2011/2012,Unknown,Manchester City vs West Brom,4-0,-435.0,491.0,1179.0
2011/2012,Unknown,Wigan vs Manchester Utd,1-0,648.0,345.0,-233.0
2011/2012,Unknown,Wolves vs Arsenal,0-3,688.0,382.0,-263.0
2011/2012,Unknown,Blackburn vs Liverpool,2-3,217.0,239.0,123.0
2011/2012,Unknown,Fulham vs Chelsea,1-1,231.0,234.0,118.0
2011/2012,Unknown,Aston Villa vs Stoke,1-1,122.0,224.0,235.0
2011/2012,Unknown,Everton vs Sunderland,4-0,-108.0,236.0,311.0
2011/2012,Unknown,Newcastle vs Bolton,2-0,-196.0,313.0,538.0
2011/2012,Unknown,Tottenham vs Norwich,1-2,-345.0,438.0,922.0
2011/2012,Unknown,Arsenal vs Manchester City,1-0,137.0,238.0,195.0
2011/2012,Unknown,Manchester Utd vs QPR,2-0,-667.0,633.0,1538.0
2011/2012,Unknown,Stoke vs Wolves,2-1,-156.0,277.0,441.0
2011/2012,Unknown,Bolton vs Fulham,0-3,144.0,231.0,186.0
2011/2012,Unknown,Chelsea vs Wigan,2-1,-312.0,405.0,871.0
2011/2012,Unknown,Liverpool vs Aston Villa,1-1,-256.0,351.0,760.0
2011/2012,Unknown,Norwich vs Everton,2-2,195.0,227.0,140.0
2011/2012,Unknown,West Brom vs Blackburn,3-0,-108.0,247.0,297.0
2011/2012,Unknown,Sunderland vs Tottenham,0-0,248.0,239.0,110.0
2011/2012,Unknown,Swansea vs Newcastle,0-2,139.0,233.0,194.0
2011/2012,Unknown,Blackburn vs Manchester Utd,0-2,695.0,351.0,-250.0
2011/2012,Unknown,Tottenham vs Swansea,3-1,-256.0,359.0,735.0
2011/2012,Unknown,Newcastle vs Liverpool,2-0,220.0,244.0,120.0
2011/2012,Unknown,Aston Villa vs Chelsea,2-4,394.0,254.0,-135.0
2011/2012,Unknown,Everton vs West Brom,2-0,-133.0,254.0,384.0
2011/2012,Unknown,Fulham vs Norwich,2-1,-161.0,279.0,463.0
2011/2012,Unknown,Manchester City vs Sunderland,3-3,-476.0,509.0,1322.0
2011/2012,Unknown,QPR vs Arsenal,2-1,527.0,309.0,-189.0
2011/2012,Unknown,Wigan vs Stoke,2-0,146.0,221.0,194.0
2011/2012,Unknown,Wolves vs Bolton,2-3,129.0,238.0,206.0
2011/2012,Unknown,Manchester Utd vs Fulham,1-0,-476.0,507.0,1284.0
2011/2012,Unknown,West Brom vs Newcastle,1-3,-101.0,246.0,272.0
2011/2012,Unknown,Stoke vs Manchester City,1-1,444.0,254.0,-145.0
2011/2012,Unknown,Arsenal vs Aston Villa,3-0,-303.0,387.0,886.0
2011/2012,Unknown,Bolton vs Blackburn,2-1,154.0,229.0,177.0
2011/2012,Unknown,Liverpool vs Wigan,1-2,-345.0,415.0,1010.0
2011/2012,Unknown,Norwich vs Wolves,2-1,-132.0,265.0,363.0
2011/2012,Unknown,Sunderland vs QPR,3-1,110.0,227.0,257.0
2011/2012,Unknown,Swansea vs Everton,0-2,125.0,221.0,227.0
2011/2012,Unknown,Chelsea vs Tottenham,0-0,-104.0,243.0,289.0
2011/2012,Unknown,Everton vs Arsenal,0-1,236.0,234.0,116.0
2011/2012,Unknown,QPR vs Liverpool,3-2,334.0,254.0,-120.0
2011/2012,Unknown,Manchester City vs Chelsea,2-1,-115.0,252.0,316.0
2011/2012,Unknown,Tottenham vs Stoke,1-1,-227.0,324.0,676.0
2011/2012,Unknown,Blackburn vs Sunderland,2-0,136.0,227.0,202.0
2011/2012,Unknown,Newcastle vs Norwich,1-0,-145.0,271.0,394.0
2011/2012,Unknown,Wolves vs Manchester Utd,0-5,898.0,416.0,-323.0
2011/2012,Unknown,Fulham vs Swansea,0-3,-133.0,256.0,378.0
2011/2012,Unknown,Wigan vs West Brom,1-1,177.0,229.0,152.0
2011/2012,Unknown,Liverpool vs Everton,3-0,-139.0,244.0,421.0
2011/2012,Unknown,Arsenal vs Newcastle,2-1,-263.0,376.0,709.0
2011/2012,Unknown,Norwich vs Wigan,1-1,-109.0,245.0,303.0
2011/2012,Unknown,Manchester Utd vs West Brom,2-0,-323.0,426.0,865.0
2011/2012,Unknown,Swansea vs Manchester City,1-0,398.0,249.0,-132.0
2011/2012,Unknown,Everton vs Tottenham,1-0,177.0,225.0,156.0
2011/2012,Unknown,Aston Villa vs Fulham,1-0,150.0,225.0,181.0
2011/2012,Unknown,Chelsea vs Stoke,1-0,-278.0,349.0,865.0
2011/2012,Unknown,Sunderland vs Liverpool,1-0,322.0,244.0,-114.0
2011/2012,Unknown,Wolves vs Blackburn,0-2,131.0,235.0,204.0
2011/2012,Unknown,Bolton vs QPR,2-1,150.0,225.0,184.0
2011/2012,Unknown,Tottenham vs Manchester Utd,1-3,214.0,235.0,125.0
2011/2012,Unknown,Fulham vs Wolves,5-0,-159.0,270.0,463.0
2011/2012,Unknown,Newcastle vs Sunderland,1-1,121.0,218.0,242.0
2011/2012,Unknown,Blackburn vs Aston Villa,1-1,139.0,229.0,195.0
2011/2012,Unknown,Manchester City vs Bolton,2-0,-769.0,684.0,1918.0
2011/2012,Unknown,QPR vs Everton,1-1,198.0,225.0,140.0
2011/2012,Unknown,Stoke vs Norwich,1-0,-115.0,243.0,325.0
2011/2012,Unknown,West Brom vs Chelsea,1-0,286.0,242.0,-103.0
2011/2012,Unknown,Wigan vs Swansea,0-2,154.0,222.0,179.0
2011/2012,Unknown,Liverpool vs Arsenal,1-2,104.0,237.0,263.0
2011/2012,Unknown,Stoke vs Swansea,2-0,-103.0,235.0,291.0
2011/2012,Unknown,Arsenal vs Tottenham,5-2,134.0,231.0,200.0
2011/2012,Unknown,Norwich vs Manchester Utd,1-2,538.0,322.0,-196.0
2011/2012,Unknown,Manchester City vs Blackburn,3-0,-769.0,687.0,1836.0
2011/2012,Unknown,Chelsea vs Bolton,3-0,-385.0,459.0,1078.0
2011/2012,Unknown,Newcastle vs Wolves,2-2,-200.0,311.0,565.0
2011/2012,Unknown,QPR vs Fulham,0-1,167.0,221.0,166.0
2011/2012,Unknown,West Brom vs Sunderland,4-0,135.0,231.0,202.0
2011/2012,Unknown,Wigan vs Aston Villa,0-0,172.0,221.0,162.0
2011/2012,Unknown,Aston Villa vs Manchester City,0-1,416.0,265.0,-145.0
2011/2012,Unknown,Wolves vs West Brom,1-5,165.0,215.0,174.0
2011/2012,Unknown,Tottenham vs Newcastle,5-0,-196.0,313.0,543.0
2011/2012,Unknown,Blackburn vs QPR,3-2,112.0,245.0,229.0
2011/2012,Unknown,Bolton vs Wigan,1-2,106.0,236.0,265.0
2011/2012,Unknown,Everton vs Chelsea,2-0,213.0,222.0,131.0
2011/2012,Unknown,Fulham vs Stoke,2-1,-106.0,236.0,308.0
2011/2012,Unknown,Sunderland vs Arsenal,1-2,258.0,233.0,106.0
2011/2012,Unknown,Swansea vs Norwich,2-3,-127.0,254.0,355.0
2011/2012,Unknown,Manchester Utd vs Liverpool,2-1,-102.0,234.0,298.0
2011/2012,Unknown,Liverpool vs Tottenham,0-0,-111.0,252.0,303.0
2011/2012,Unknown,Chelsea vs Manchester Utd,3-3,165.0,225.0,167.0
2011/2012,Unknown,Newcastle vs Aston Villa,2-1,110.0,231.0,250.0
2011/2012,Unknown,Manchester City vs Fulham,3-0,-312.0,412.0,896.0
2011/2012,Unknown,Norwich vs Bolton,2-0,104.0,239.0,263.0
2011/2012,Unknown,QPR vs Wolves,1-2,-104.0,239.0,290.0
2011/2012,Unknown,Stoke vs Sunderland,0-1,125.0,223.0,225.0
2011/2012,Unknown,West Brom vs Swansea,1-2,108.0,229.0,265.0
2011/2012,Unknown,Wigan vs Everton,1-1,288.0,235.0,-101.0
2011/2012,Unknown,Arsenal vs Blackburn,7-1,-370.0,444.0,1023.0
2011/2012,Unknown,Blackburn vs Newcastle,0-2,140.0,231.0,192.0
2011/2012,Unknown,Bolton vs Arsenal,0-0,455.0,290.0,-164.0
2011/2012,Unknown,Fulham vs West Brom,1-1,-122.0,244.0,355.0
2011/2012,Unknown,Sunderland vs Norwich,3-0,-135.0,254.0,393.0
2011/2012,Unknown,Aston Villa vs QPR,2-2,-119.0,243.0,344.0
2011/2012,Unknown,Everton vs Manchester City,1-0,330.0,246.0,-118.0
2011/2012,Unknown,Manchester Utd vs Stoke,2-0,-303.0,395.0,819.0
2011/2012,Unknown,Swansea vs Chelsea,1-1,313.0,229.0,-108.0
2011/2012,Unknown,Tottenham vs Wigan,3-1,-500.0,524.0,1342.0
2011/2012,Unknown,Wolves vs Liverpool,0-3,384.0,256.0,-135.0
2011/2012,Unknown,Arsenal vs Manchester Utd,1-2,167.0,231.0,162.0
2011/2012,Unknown,Manchester City vs Tottenham,3-2,-116.0,252.0,319.0
2011/2012,Unknown,Bolton vs Liverpool,3-1,562.0,291.0,-189.0
