season,date,match_name,result,h_odd,d_odd,a_odd
2008/2009,Unknown,Arsenal vs Stoke,4-1,-312.0,399.0,866.0
2008/2009,Unknown,Aston Villa vs Newcastle,1-0,102.0,248.0,257.0
2008/2009,Unknown,Blackburn vs West Brom,0-0,-111.0,244.0,307.0
2008/2009,Unknown,Fulham vs Everton,0-2,114.0,224.0,239.0
2008/2009,Unknown,Hull vs Manchester Utd,0-1,152.0,235.0,170.0
2008/2009,Unknown,Liverpool vs Tottenham,3-1,-227.0,320.0,649.0
2008/2009,Unknown,Manchester City vs Bolton,1-0,-137.0,250.0,392.0
2008/2009,Unknown,Sunderland vs Chelsea,2-3,386.0,259.0,-137.0
2008/2009,Unknown,West Ham vs Middlesbrough,2-1,110.0,243.0,239.0
2008/2009,Unknown,Wigan vs Portsmouth,1-0,-108.0,239.0,305.0
2008/2009,Unknown,Portsmouth vs Sunderland,3-1,133.0,216.0,212.0
2008/2009,Unknown,Chelsea vs Blackburn,2-0,-370.0,428.0,1158.0
2008/2009,Unknown,West Brom vs Liverpool,0-2,576.0,344.0,-222.0
2008/2009,Unknown,Bolton vs Hull,1-1,114.0,231.0,240.0
2008/2009,Unknown,Everton vs West Ham,3-1,-141.0,252.0,417.0
2008/2009,Unknown,Middlesbrough vs Aston Villa,1-1,154.0,235.0,169.0
2008/2009,Unknown,Newcastle vs Fulham,0-1,-109.0,245.0,295.0
2008/2009,Unknown,Stoke vs Wigan,2-0,119.0,227.0,231.0
2008/2009,Unknown,Tottenham vs Manchester City,2-1,-125.0,247.0,355.0
2008/2009,Unknown,Manchester Utd vs Arsenal,0-0,-172.0,271.0,567.0
2008/2009,Unknown,Wigan vs Manchester Utd,1-2,978.0,416.0,-345.0
2008/2009,Unknown,Newcastle vs Middlesbrough,3-1,-101.0,237.0,277.0
2008/2009,Unknown,Arsenal vs Chelsea,1-4,170.0,223.0,163.0
2008/2009,Unknown,Manchester Utd vs Manchester City,2-0,-294.0,396.0,866.0
2008/2009,Unknown,West Ham vs Liverpool,0-3,614.0,293.0,-196.0
2008/2009,Unknown,Blackburn vs Portsmouth,2-0,102.0,223.0,283.0
2008/2009,Unknown,Bolton vs Sunderland,0-0,108.0,225.0,261.0
2008/2009,Unknown,Everton vs Tottenham,0-0,121.0,229.0,225.0
2008/2009,Unknown,Fulham vs Aston Villa,3-1,162.0,224.0,169.0
2008/2009,Unknown,Hull vs Stoke,1-2,104.0,227.0,270.0
2008/2009,Unknown,West Brom vs Wigan,3-1,131.0,231.0,204.0
2008/2009,Unknown,Aston Villa vs Hull,1-0,-185.0,279.0,566.0
2008/2009,Unknown,Sunderland vs Everton,0-2,161.0,223.0,170.0
2008/2009,Unknown,Liverpool vs Newcastle,3-0,-400.0,454.0,1279.0
2008/2009,Unknown,Chelsea vs Fulham,3-1,-213.0,286.0,716.0
2008/2009,Unknown,Manchester City vs Blackburn,3-1,-105.0,234.0,293.0
