season,date,match_name,result,h_odd,d_odd,a_odd
2022/2023,Unknown,Arsenal vs Wolves,5-0,-345.0,518.0,874.0
2022/2023,Unknown,Aston Villa vs Brighton,2-1,-116.0,307.0,285.0
2022/2023,Unknown,Brentford vs Manchester City,1-0,237.0,260.0,114.0
2022/2023,Unknown,Chelsea vs Newcastle,1-1,181.0,277.0,138.0
2022/2023,Unknown,Crystal Palace vs Nottingham,1-1,-164.0,311.0,462.0
2022/2023,Unknown,Everton vs Bournemouth,1-0,-159.0,321.0,434.0
2022/2023,Unknown,Leeds vs Tottenham,1-4,179.0,286.0,136.0
2022/2023,Unknown,Leicester vs West Ham,2-1,108.0,297.0,223.0
2022/2023,Unknown,Manchester Utd vs Fulham,2-1,-208.0,401.0,505.0
2022/2023,Unknown,Southampton vs Liverpool,4-4,488.0,393.0,-204.0
2022/2023,Unknown,Manchester Utd vs Chelsea,4-1,-182.0,345.0,479.0
2022/2023,Unknown,Brighton vs Manchester City,1-1,289.0,313.0,-119.0
2022/2023,Unknown,Newcastle vs Leicester,0-0,-323.0,491.0,824.0
2022/2023,Unknown,Manchester City vs Chelsea,1-0,-172.0,317.0,484.0
2022/2023,Unknown,Brighton vs Southampton,3-1,-476.0,637.0,1186.0
2022/2023,Unknown,West Ham vs Leeds,3-1,160.0,249.0,169.0
2022/2023,Unknown,Nottingham vs Arsenal,1-0,420.0,319.0,-159.0
2022/2023,Unknown,Bournemouth vs Manchester Utd,0-1,629.0,425.0,-250.0
2022/2023,Unknown,Fulham vs Crystal Palace,2-2,134.0,225.0,225.0
2022/2023,Unknown,Liverpool vs Aston Villa,1-1,-204.0,384.0,509.0
2022/2023,Unknown,Wolves vs Everton,1-1,212.0,247.0,131.0
2022/2023,Unknown,Tottenham vs Brentford,1-3,-105.0,277.0,282.0
2022/2023,Unknown,Newcastle vs Brighton,4-1,-123.0,309.0,312.0
2022/2023,Unknown,Leicester vs Liverpool,0-3,366.0,326.0,-145.0
