season,date,match_name,result,h_odd,d_odd,a_odd
2009/2010,Unknown,Arsenal vs Fulham,4-0,-625.0,590.0,1485.0
2009/2010,Unknown,Aston Villa vs Blackburn,0-1,-172.0,282.0,505.0
2009/2010,Unknown,Bolton vs Birmingham,2-1,114.0,229.0,243.0
2009/2010,Unknown,Burnley vs Tottenham,4-2,525.0,305.0,-192.0
2009/2010,Unknown,Chelsea vs Wigan,8-0,-1250.0,916.0,2518.0
2009/2010,Unknown,Everton vs Portsmouth,1-0,-370.0,440.0,1015.0
2009/2010,Unknown,Hull vs Liverpool,0-0,570.0,308.0,-200.0
2009/2010,Unknown,Manchester Utd vs Stoke,4-0,-909.0,748.0,2120.0
2009/2010,Unknown,West Ham vs Manchester City,1-1,250.0,239.0,108.0
2009/2010,Unknown,Wolves vs Sunderland,2-1,137.0,224.0,202.0
2009/2010,Unknown,Fulham vs Stoke,0-1,104.0,224.0,273.0
2009/2010,Unknown,Manchester City vs Tottenham,0-1,-103.0,244.0,278.0
2009/2010,Unknown,Blackburn vs Arsenal,2-1,280.0,237.0,-101.0
2009/2010,Unknown,Wigan vs Hull,2-2,-145.0,265.0,412.0
2009/2010,Unknown,Sunderland vs Manchester Utd,0-1,734.0,362.0,-263.0
2009/2010,Unknown,Fulham vs West Ham,3-2,145.0,225.0,188.0
2009/2010,Unknown,Liverpool vs Chelsea,0-2,334.0,262.0,-125.0
2009/2010,Unknown,Manchester City vs Aston Villa,3-1,-116.0,249.0,320.0
2009/2010,Unknown,Portsmouth vs Wolves,3-1,135.0,225.0,202.0
2009/2010,Unknown,Stoke vs Everton,0-0,281.0,236.0,-102.0
2009/2010,Unknown,Tottenham vs Bolton,1-0,-417.0,466.0,1126.0
2009/2010,Unknown,Birmingham vs Burnley,2-1,-185.0,284.0,553.0
2009/2010,Unknown,Chelsea vs Stoke,7-0,-714.0,653.0,1698.0
2009/2010,Unknown,Burnley vs Liverpool,0-4,500.0,304.0,-182.0
2009/2010,Unknown,Everton vs Fulham,2-1,-294.0,374.0,888.0
2009/2010,Unknown,Aston Villa vs Birmingham,1-0,-161.0,268.0,486.0
2009/2010,Unknown,Arsenal vs Manchester City,0-0,100.0,250.0,263.0
2009/2010,Unknown,Bolton vs Portsmouth,2-2,-185.0,288.0,559.0
2009/2010,Unknown,Hull vs Sunderland,0-1,139.0,227.0,195.0
2009/2010,Unknown,West Ham vs Wigan,3-2,-119.0,250.0,329.0
2009/2010,Unknown,Wolves vs Blackburn,1-1,123.0,223.0,227.0
2009/2010,Unknown,Manchester Utd vs Tottenham,3-1,-185.0,308.0,518.0
2009/2010,Unknown,Hull vs Aston Villa,0-2,289.0,245.0,-106.0
2009/2010,Unknown,Liverpool vs West Ham,3-0,-238.0,330.0,709.0
2009/2010,Unknown,Portsmouth vs Aston Villa,1-2,449.0,277.0,-161.0
2009/2010,Unknown,Wigan vs Arsenal,3-2,482.0,288.0,-172.0
2009/2010,Unknown,Tottenham vs Chelsea,2-1,318.0,252.0,-116.0
2009/2010,Unknown,Birmingham vs Hull,0-0,-141.0,256.0,407.0
2009/2010,Unknown,Blackburn vs Everton,2-3,195.0,225.0,140.0
2009/2010,Unknown,Fulham vs Wolves,0-0,110.0,221.0,267.0
2009/2010,Unknown,Stoke vs Bolton,1-2,112.0,222.0,252.0
2009/2010,Unknown,Sunderland vs Burnley,2-1,-169.0,280.0,480.0
2009/2010,Unknown,Manchester City vs Manchester Utd,0-1,199.0,239.0,134.0
2009/2010,Unknown,Tottenham vs Arsenal,2-1,227.0,233.0,121.0
