season,date,match_name,result,h_odd,d_odd,a_odd
2023/2024,Unknown,Arsenal vs Everton,2-1,-455.0,625.0,1149.0
2023/2024,Unknown,Brentford vs Newcastle,2-4,195.0,300.0,120.0
2023/2024,Unknown,Brighton vs Manchester Utd,0-2,165.0,301.0,141.0
2023/2024,Unknown,Burnley vs Nottingham,1-2,190.0,278.0,131.0
2023/2024,Unknown,Chelsea vs Bournemouth,2-1,-250.0,453.0,585.0
2023/2024,Unknown,Crystal Palace vs Aston Villa,5-0,-154.0,348.0,359.0
2023/2024,Unknown,Liverpool vs Wolves,2-0,-769.0,896.0,1617.0
2023/2024,Unknown,Luton vs Fulham,2-4,204.0,291.0,118.0
2023/2024,Unknown,Manchester City vs West Ham,3-1,-1429.0,1298.0,2735.0
2023/2024,Unknown,Sheffield Utd vs Tottenham,0-3,664.0,488.0,-286.0
2023/2024,Unknown,Manchester Utd vs Newcastle,3-2,170.0,296.0,139.0
2023/2024,Unknown,Brighton vs Chelsea,1-2,223.0,307.0,104.0
2023/2024,Unknown,Tottenham vs Manchester City,0-2,583.0,505.0,-270.0
2023/2024,Unknown,Aston Villa vs Liverpool,3-3,281.0,355.0,-128.0
2023/2024,Unknown,Manchester Utd vs Arsenal,0-1,801.0,515.0,-333.0
2023/2024,Unknown,Nottingham vs Chelsea,2-3,318.0,301.0,-123.0
2023/2024,Unknown,Bournemouth vs Brentford,1-2,110.0,286.0,222.0
2023/2024,Unknown,Everton vs Sheffield Utd,1-0,-238.0,401.0,606.0
2023/2024,Unknown,Newcastle vs Brighton,1-1,-169.0,373.0,400.0
2023/2024,Unknown,Tottenham vs Burnley,2-1,-323.0,526.0,717.0
2023/2024,Unknown,West Ham vs Luton,3-1,-116.0,318.0,276.0
2023/2024,Unknown,Wolves vs Crystal Palace,1-3,222.0,254.0,122.0
2023/2024,Unknown,Fulham vs Manchester City,0-4,1044.0,619.0,-435.0
2023/2024,Unknown,Crystal Palace vs Manchester Utd,4-0,102.0,290.0,243.0
2023/2024,Unknown,Liverpool vs Tottenham,4-2,-233.0,468.0,501.0
2023/2024,Unknown,Brighton vs Aston Villa,1-0,146.0,280.0,168.0
2023/2024,Unknown,Chelsea vs West Ham,5-0,-200.0,405.0,469.0
2023/2024,Unknown,Manchester City vs Wolves,5-1,-1111.0,1118.0,2173.0
2023/2024,Unknown,Brentford vs Fulham,0-0,106.0,283.0,235.0
2023/2024,Unknown,Burnley vs Newcastle,1-4,237.0,308.0,-101.0
2023/2024,Unknown,Sheffield Utd vs Nottingham,1-3,384.0,319.0,-147.0
2023/2024,Unknown,Arsenal vs Bournemouth,3-0,-455.0,620.0,1158.0
2023/2024,Unknown,Luton vs Everton,1-1,179.0,262.0,146.0
2023/2024,Unknown,Chelsea vs Tottenham,2-0,145.0,300.0,162.0
2023/2024,Unknown,Nottingham vs Manchester City,0-2,983.0,499.0,-370.0
2023/2024,Unknown,Bournemouth vs Brighton,3-0,-104.0,311.0,246.0
2023/2024,Unknown,Tottenham vs Arsenal,2-3,343.0,317.0,-135.0
2023/2024,Unknown,Aston Villa vs Chelsea,2-2,106.0,293.0,227.0
2023/2024,Unknown,Everton vs Brentford,1-0,181.0,245.0,150.0
2023/2024,Unknown,Fulham vs Crystal Palace,1-1,108.0,249.0,252.0
2023/2024,Unknown,Manchester Utd vs Burnley,1-1,-200.0,407.0,461.0
2023/2024,Unknown,Newcastle vs Sheffield Utd,5-1,-476.0,636.0,1046.0
2023/2024,Unknown,Wolves vs Luton,2-1,-111.0,285.0,284.0
2023/2024,Unknown,West Ham vs Liverpool,2-2,424.0,378.0,-182.0
