season,date,match_name,result,h_odd,d_odd,a_odd
2007/2008,Unknown,Birmingham vs Blackburn,4-1,136.0,235.0,195.0
2007/2008,Unknown,Chelsea vs Bolton,1-1,-714.0,602.0,1561.0
2007/2008,Unknown,Derby vs Reading,0-4,423.0,275.0,-164.0
2007/2008,Unknown,Everton vs Newcastle,3-1,-130.0,238.0,365.0
2007/2008,Unknown,Middlesbrough vs Manchester City,8-1,104.0,225.0,257.0
2007/2008,Unknown,Portsmouth vs Fulham,0-1,194.0,241.0,127.0
2007/2008,Unknown,Sunderland vs Arsenal,0-1,298.0,246.0,-116.0
2007/2008,Unknown,Tottenham vs Liverpool,0-2,150.0,227.0,171.0
2007/2008,Unknown,West Ham vs Aston Villa,2-2,206.0,234.0,122.0
2007/2008,Unknown,Wigan vs Manchester Utd,0-2,1118.0,474.0,-435.0
2007/2008,Unknown,Newcastle vs Chelsea,0-2,505.0,294.0,-185.0
2007/2008,Unknown,Liverpool vs Manchester City,1-0,-172.0,269.0,520.0
2007/2008,Unknown,Arsenal vs Everton,1-0,-164.0,256.0,488.0
2007/2008,Unknown,Bolton vs Sunderland,2-0,-147.0,254.0,428.0
2007/2008,Unknown,Aston Villa vs Wigan,0-2,-200.0,282.0,596.0
2007/2008,Unknown,Blackburn vs Derby,3-1,-400.0,429.0,1125.0
2007/2008,Unknown,Fulham vs Birmingham,2-0,110.0,231.0,240.0
2007/2008,Unknown,Middlesbrough vs Portsmouth,2-0,-116.0,239.0,330.0
2007/2008,Unknown,Reading vs Tottenham,0-1,134.0,227.0,196.0
2007/2008,Unknown,Manchester Utd vs West Ham,4-1,-556.0,530.0,1518.0
2007/2008,Unknown,Derby vs Arsenal,2-6,1015.0,412.0,-370.0
2007/2008,Unknown,Everton vs Aston Villa,2-2,131.0,223.0,202.0
2007/2008,Unknown,Portsmouth vs Blackburn,0-1,118.0,224.0,231.0
2007/2008,Unknown,Birmingham vs Liverpool,2-2,177.0,219.0,154.0
2007/2008,Unknown,Manchester City vs Fulham,2-3,-118.0,240.0,330.0
2007/2008,Unknown,Sunderland vs Middlesbrough,3-2,129.0,212.0,217.0
2007/2008,Unknown,Tottenham vs Bolton,1-1,-132.0,254.0,363.0
2007/2008,Unknown,West Ham vs Newcastle,2-2,152.0,225.0,173.0
2007/2008,Unknown,Wigan vs Reading,0-0,100.0,227.0,277.0
2007/2008,Unknown,Chelsea vs Manchester Utd,2-1,143.0,212.0,198.0
2007/2008,Unknown,Manchester City vs Portsmouth,3-1,137.0,220.0,202.0
2007/2008,Unknown,Newcastle vs Sunderland,2-0,-116.0,237.0,328.0
2007/2008,Unknown,Aston Villa vs Birmingham,5-1,-135.0,242.0,390.0
