season,date,match_name,result,h_odd,d_odd,a_odd
2017/2018,Unknown,Burnley vs Bournemouth,1-2,136.0,246.0,212.0
2017/2018,Unknown,Crystal Palace vs West Brom,2-0,-130.0,288.0,376.0
2017/2018,Unknown,Huddersfield vs Arsenal,0-1,471.0,369.0,-179.0
2017/2018,Unknown,Liverpool vs Brighton,4-0,-455.0,616.0,1209.0
2017/2018,Unknown,Manchester Utd vs Watford,1-0,-192.0,337.0,583.0
2017/2018,Unknown,Newcastle vs Chelsea,3-0,374.0,288.0,-128.0
2017/2018,Unknown,Southampton vs Manchester City,0-1,525.0,359.0,-189.0
2017/2018,Unknown,Swansea vs Stoke,1-2,104.0,254.0,280.0
2017/2018,Unknown,Tottenham vs Leicester,5-4,-263.0,453.0,705.0
2017/2018,Unknown,West Ham vs Everton,3-1,133.0,243.0,220.0
2017/2018,Unknown,West Ham vs Manchester Utd,0-0,355.0,281.0,-122.0
2017/2018,Unknown,Manchester City vs Brighton,3-1,-526.0,677.0,1478.0
2017/2018,Unknown,Tottenham vs Newcastle,1-0,-476.0,636.0,1413.0
2017/2018,Unknown,Chelsea vs Huddersfield,1-1,-417.0,515.0,1468.0
2017/2018,Unknown,Leicester vs Arsenal,3-1,283.0,293.0,-105.0
2017/2018,Unknown,Swansea vs Southampton,0-1,229.0,219.0,140.0
2017/2018,Unknown,Arsenal vs Burnley,5-0,-244.0,399.0,718.0
2017/2018,Unknown,Chelsea vs Liverpool,1-0,120.0,268.0,229.0
2017/2018,Unknown,Manchester City vs Huddersfield,0-0,-1111.0,1213.0,2803.0
2017/2018,Unknown,Everton vs Southampton,1-1,181.0,229.0,169.0
2017/2018,Unknown,Bournemouth vs Swansea,1-0,100.0,259.0,295.0
2017/2018,Unknown,Leicester vs West Ham,0-2,127.0,246.0,231.0
2017/2018,Unknown,Watford vs Newcastle,2-1,121.0,234.0,261.0
2017/2018,Unknown,West Brom vs Tottenham,1-0,648.0,353.0,-213.0
2017/2018,Unknown,Stoke vs Crystal Palace,1-2,154.0,248.0,186.0
2017/2018,Unknown,Brighton vs Manchester Utd,1-0,397.0,250.0,-119.0
2017/2018,Unknown,Tottenham vs Watford,2-0,-588.0,757.0,1630.0
2017/2018,Unknown,Manchester Utd vs Arsenal,2-1,-256.0,432.0,711.0
2017/2018,Unknown,West Ham vs Manchester City,1-4,841.0,479.0,-303.0
2017/2018,Unknown,Swansea vs Chelsea,0-1,667.0,374.0,-222.0
2017/2018,Unknown,Burnley vs Brighton,0-0,137.0,212.0,247.0
2017/2018,Unknown,Crystal Palace vs Leicester,5-0,108.0,254.0,275.0
2017/2018,Unknown,Huddersfield vs Everton,0-2,169.0,206.0,200.0
2017/2018,Unknown,Newcastle vs West Brom,0-1,-103.0,236.0,345.0
2017/2018,Unknown,Southampton vs Bournemouth,2-1,-143.0,309.0,405.0
2017/2018,Unknown,Liverpool vs Stoke,0-0,-345.0,504.0,1016.0
2017/2018,Unknown,Everton vs Newcastle,1-0,117.0,231.0,271.0
2017/2018,Unknown,Manchester City vs Swansea,5-0,-769.0,867.0,1955.0
2017/2018,Unknown,Arsenal vs West Ham,4-1,-196.0,359.0,566.0
2017/2018,Unknown,Stoke vs Burnley,1-1,124.0,237.0,247.0
2017/2018,Unknown,Watford vs Crystal Palace,0-0,206.0,231.0,148.0
2017/2018,Unknown,West Brom vs Liverpool,2-2,555.0,305.0,-169.0
2017/2018,Unknown,Burnley vs Chelsea,1-2,346.0,252.0,-110.0
2017/2018,Unknown,Leicester vs Southampton,0-0,139.0,242.0,210.0
2017/2018,Unknown,Bournemouth vs Manchester Utd,0-2,350.0,285.0,-122.0
2017/2018,Unknown,Brighton vs Tottenham,1-1,539.0,326.0,-179.0
2017/2018,Unknown,West Ham vs Stoke,1-1,100.0,243.0,318.0
2017/2018,Unknown,Manchester Utd vs West Brom,0-1,-526.0,629.0,1666.0
2017/2018,Unknown,Newcastle vs Arsenal,2-1,188.0,247.0,152.0
2017/2018,Unknown,Tottenham vs Manchester City,1-3,177.0,265.0,152.0
2017/2018,Unknown,Liverpool vs Bournemouth,3-0,-455.0,619.0,1243.0
2017/2018,Unknown,Burnley vs Leicester,2-1,162.0,218.0,199.0
2017/2018,Unknown,Crystal Palace vs Brighton,3-2,-116.0,250.0,383.0
2017/2018,Unknown,Huddersfield vs Watford,1-0,156.0,219.0,206.0
2017/2018,Unknown,Swansea vs Everton,1-1,171.0,214.0,190.0
2017/2018,Unknown,Southampton vs Chelsea,2-3,361.0,279.0,-123.0
2017/2018,Unknown,Chelsea vs West Ham,1-1,-333.0,487.0,1010.0
2017/2018,Unknown,Arsenal vs Southampton,3-2,-132.0,284.0,391.0
2017/2018,Unknown,Manchester City vs Manchester Utd,2-3,-120.0,271.0,362.0
2017/2018,Unknown,Bournemouth vs Crystal Palace,2-2,158.0,252.0,177.0
2017/2018,Unknown,Brighton vs Huddersfield,1-1,-137.0,263.0,459.0
2017/2018,Unknown,Leicester vs Newcastle,1-2,-116.0,254.0,370.0
2017/2018,Unknown,Stoke vs Tottenham,1-2,1022.0,509.0,-345.0
2017/2018,Unknown,Watford vs Burnley,1-2,134.0,220.0,243.0
2017/2018,Unknown,West Brom vs Swansea,1-1,142.0,219.0,227.0
2017/2018,Unknown,Everton vs Liverpool,0-0,265.0,244.0,114.0
2017/2018,Unknown,Chelsea vs Tottenham,1-3,131.0,236.0,224.0
2017/2018,Unknown,Arsenal vs Stoke,3-0,-345.0,493.0,961.0
2017/2018,Unknown,Everton vs Manchester City,1-3,881.0,436.0,-303.0
2017/2018,Unknown,Brighton vs Leicester,0-2,172.0,225.0,175.0
2017/2018,Unknown,Manchester Utd vs Swansea,2-0,-455.0,562.0,1402.0
2017/2018,Unknown,Newcastle vs Huddersfield,1-0,-132.0,262.0,438.0
2017/2018,Unknown,Watford vs Bournemouth,2-2,127.0,246.0,231.0
2017/2018,Unknown,West Brom vs Burnley,1-2,156.0,204.0,212.0
2017/2018,Unknown,West Ham vs Southampton,3-0,187.0,224.0,168.0
2017/2018,Unknown,Crystal Palace vs Liverpool,1-2,583.0,370.0,-204.0
2017/2018,Unknown,Liverpool vs Watford,5-0,-588.0,769.0,1548.0
2017/2018,Unknown,Bournemouth vs West Brom,2-1,-125.0,273.0,386.0
2017/2018,Unknown,Huddersfield vs Crystal Palace,0-2,177.0,218.0,181.0
2017/2018,Unknown,Stoke vs Everton,1-2,175.0,223.0,179.0
2017/2018,Unknown,Stoke vs Manchester City,0-2,1291.0,574.0,-435.0
2017/2018,Unknown,Bournemouth vs Tottenham,1-4,631.0,405.0,-227.0
2017/2018,Unknown,Arsenal vs Watford,3-0,-196.0,351.0,583.0
2017/2018,Unknown,Chelsea vs Crystal Palace,2-1,-333.0,467.0,1071.0
2017/2018,Unknown,Everton vs Brighton,2-0,125.0,225.0,258.0
2017/2018,Unknown,Huddersfield vs Swansea,0-0,150.0,208.0,227.0
