season,date,match_name,result,h_odd,d_odd,a_odd
2014/2015,Unknown,Arsenal vs West Brom,4-1,1.34,5.52,8.76
2014/2015,Unknown,Aston Villa vs Burnley,0-1,2.21,3.44,3.34
2014/2015,Unknown,Chelsea vs Sunderland,3-1,1.29,5.81,10.44
2014/2015,Unknown,Crystal Palace vs Swansea,1-0,1.81,3.82,4.46
2014/2015,Unknown,Everton vs Tottenham,0-1,2.31,3.54,3.07
2014/2015,Unknown,Hull vs Manchester Utd,0-0,3.1,3.63,2.25
2014/2015,Unknown,Leicester vs QPR,5-1,1.5,4.63,6.34
2014/2015,Unknown,Manchester City vs Southampton,2-0,1.62,4.22,5.41
2014/2015,Unknown,Newcastle vs West Ham,2-0,1.76,3.89,4.6
2014/2015,Unknown,Stoke vs Liverpool,6-1,3.37,3.52,2.17
2014/2015,Unknown,Arsenal vs Sunderland,0-0,1.28,5.81,11.34
2014/2015,Unknown,West Brom vs Chelsea,3-0,5.24,3.72,1.72
2014/2015,Unknown,Manchester Utd vs Arsenal,1-1,2.56,3.33,2.85
2014/2015,Unknown,Swansea vs Manchester City,2-4,4.63,4.04,1.73
2014/2015,Unknown,Liverpool vs Crystal Palace,1-3,1.45,4.63,7.55
2014/2015,Unknown,Burnley vs Stoke,0-0,2.54,3.28,2.91
2014/2015,Unknown,QPR vs Newcastle,2-1,3.16,3.49,2.29
2014/2015,Unknown,Sunderland vs Leicester,0-0,2.99,3.24,2.51
2014/2015,Unknown,Tottenham vs Hull,2-0,1.85,3.76,4.29
2014/2015,Unknown,West Ham vs Everton,1-2,2.48,3.44,2.89
2014/2015,Unknown,Southampton vs Aston Villa,6-1,1.76,3.84,4.76
2014/2015,Unknown,Arsenal vs Swansea,0-1,1.31,5.6,10.01
2014/2015,Unknown,Chelsea vs Liverpool,1-1,2.12,3.37,3.68
2014/2015,Unknown,Manchester City vs QPR,6-0,1.19,7.75,14.25
2014/2015,Unknown,Crystal Palace vs Manchester Utd,1-2,4.65,3.56,1.83
2014/2015,Unknown,Aston Villa vs West Ham,1-0,1.78,3.75,4.72
2014/2015,Unknown,Hull vs Burnley,0-1,1.89,3.47,4.51
2014/2015,Unknown,Leicester vs Southampton,2-0,2.7,3.31,2.71
2014/2015,Unknown,Newcastle vs West Brom,1-1,2.19,3.32,3.51
2014/2015,Unknown,Stoke vs Tottenham,3-0,3.23,3.4,2.29
2014/2015,Unknown,Everton vs Sunderland,0-2,1.69,3.74,5.53
2014/2015,Unknown,Hull vs Arsenal,1-3,5.14,3.71,1.73
2014/2015,Unknown,Tottenham vs Manchester City,0-1,3.33,3.57,2.17
2014/2015,Unknown,Chelsea vs Crystal Palace,1-0,1.32,5.28,10.91
2014/2015,Unknown,Manchester Utd vs West Brom,0-1,1.38,4.86,9.35
2014/2015,Unknown,Aston Villa vs Everton,3-2,2.61,3.23,2.84
2014/2015,Unknown,Liverpool vs QPR,2-1,1.36,5.21,8.85
2014/2015,Unknown,Sunderland vs Southampton,2-1,4.05,3.34,2.01
2014/2015,Unknown,Swansea vs Stoke,2-0,2.24,3.29,3.43
2014/2015,Unknown,West Ham vs Burnley,1-0,2.3,3.35,3.25
2014/2015,Unknown,Leicester vs Newcastle,3-0,1.85,3.64,4.44
2014/2015,Unknown,Leicester vs Chelsea,1-3,4.98,3.67,1.76
2014/2015,Unknown,Hull vs Liverpool,1-0,3.96,3.34,2.05
2014/2015,Unknown,Arsenal vs Chelsea,0-0,2.44,3.21,3.13
2014/2015,Unknown,Everton vs Manchester Utd,3-0,4.01,3.4,2.02
2014/2015,Unknown,Manchester City vs Aston Villa,3-2,1.26,6.25,11.85
2014/2015,Unknown,Burnley vs Leicester,0-1,2.74,3.25,2.68
2014/2015,Unknown,Crystal Palace vs Hull,0-2,2.02,3.31,4.12
2014/2015,Unknown,QPR vs West Ham,0-0,2.24,3.42,3.3
2014/2015,Unknown,Stoke vs Sunderland,1-1,1.82,3.44,5.0
2014/2015,Unknown,Newcastle vs Swansea,2-3,2.34,3.25,3.28
2014/2015,Unknown,West Brom vs Liverpool,0-0,4.27,3.49,1.93
2014/2015,Unknown,Southampton vs Tottenham,2-2,2.02,3.48,3.88
2014/2015,Unknown,Newcastle vs Tottenham,1-3,2.98,3.36,2.45
2014/2015,Unknown,Manchester City vs West Ham,2-0,1.25,6.48,11.8
2014/2015,Unknown,Chelsea vs Manchester Utd,1-0,1.93,3.47,4.25
2014/2015,Unknown,Crystal Palace vs West Brom,0-2,2.02,3.33,4.09
2014/2015,Unknown,Everton vs Burnley,1-0,1.82,3.54,4.75
2014/2015,Unknown,Leicester vs Swansea,2-0,2.0,3.48,3.94
2014/2015,Unknown,Stoke vs Southampton,2-1,3.27,3.23,2.35
2014/2015,Unknown,Liverpool vs Newcastle,2-0,1.35,5.2,9.32
2014/2015,Unknown,Manchester Utd vs Manchester City,4-2,2.71,3.23,2.75
2014/2015,Unknown,QPR vs Chelsea,0-1,8.52,4.84,1.4
2014/2015,Unknown,Burnley vs Arsenal,0-1,6.22,4.04,1.59
2014/2015,Unknown,Southampton vs Hull,2-0,1.56,3.95,6.8
2014/2015,Unknown,Sunderland vs Crystal Palace,1-4,2.74,3.16,2.79
2014/2015,Unknown,Tottenham vs Aston Villa,0-1,1.62,4.06,5.69
2014/2015,Unknown,West Brom vs Leicester,2-3,2.33,3.3,3.24
2014/2015,Unknown,West Ham vs Stoke,1-1,2.16,3.37,3.57
2014/2015,Unknown,Swansea vs Everton,1-1,2.49,3.25,3.0
2014/2015,Unknown,Aston Villa vs QPR,3-3,2.09,3.34,3.83
2014/2015,Unknown,Crystal Palace vs Manchester City,2-1,5.51,4.08,1.64
2014/2015,Unknown,Sunderland vs Newcastle,1-0,2.66,3.12,2.89
2014/2015,Unknown,Burnley vs Tottenham,0-0,3.3,3.48,2.23
2014/2015,Unknown,Chelsea vs Stoke,2-1,1.29,5.45,12.26
2014/2015,Unknown,Everton vs Southampton,1-0,2.77,3.17,2.74
2014/2015,Unknown,Leicester vs West Ham,2-1,2.16,3.5,3.43
2014/2015,Unknown,Manchester Utd vs Aston Villa,3-1,1.33,5.11,10.34
2014/2015,Unknown,Swansea vs Hull,3-1,1.99,3.29,4.25
2014/2015,Unknown,West Brom vs QPR,1-4,1.8,3.59,4.86
2014/2015,Unknown,Arsenal vs Liverpool,4-1,1.83,3.71,4.47
2014/2015,Unknown,Hull vs Chelsea,2-3,8.11,4.0,1.5
2014/2015,Unknown,QPR vs Everton,1-2,3.44,3.42,2.19
2014/2015,Unknown,Liverpool vs Manchester Utd,1-2,2.27,3.27,3.4
2014/2015,Unknown,West Ham vs Sunderland,1-0,1.83,3.54,4.72
2014/2015,Unknown,Aston Villa vs Swansea,0-1,2.6,3.18,2.92
2014/2015,Unknown,Newcastle vs Arsenal,1-2,5.5,4.08,1.64
2014/2015,Unknown,Southampton vs Burnley,2-0,1.47,4.36,7.8
2014/2015,Unknown,Stoke vs Crystal Palace,1-2,2.45,3.15,3.16
2014/2015,Unknown,Tottenham vs Leicester,4-3,1.62,4.06,5.68
2014/2015,Unknown,Manchester City vs West Brom,3-0,1.31,5.62,10.36
2014/2015,Unknown,Swansea vs Liverpool,0-1,4.16,3.48,1.96
2014/2015,Unknown,Everton vs Newcastle,3-0,1.83,3.56,4.75
2014/2015,Unknown,Manchester Utd vs Tottenham,3-0,1.86,3.72,4.32
2014/2015,Unknown,Chelsea vs Southampton,1-1,1.6,3.83,6.53
2014/2015,Unknown,Burnley vs Manchester City,1-0,7.56,5.01,1.41
2014/2015,Unknown,Arsenal vs West Ham,3-0,1.33,5.53,9.53
2014/2015,Unknown,Leicester vs Hull,0-0,2.06,3.28,4.02
2014/2015,Unknown,Sunderland vs Aston Villa,0-4,2.35,3.19,3.31
