season,date,match_name,result,h_odd,d_odd,a_odd
2016/2017,Unknown,Arsenal vs Everton,3-1,1.35,5.79,8.39
2016/2017,Unknown,Burnley vs West Ham,1-2,2.32,3.48,3.17
2016/2017,Unknown,Chelsea vs Sunderland,5-1,1.1,11.24,28.57
2016/2017,Unknown,Hull vs Tottenham,1-7,9.84,6.21,1.3
2016/2017,Unknown,Leicester vs Bournemouth,1-1,1.7,4.27,4.74
2016/2017,Unknown,Liverpool vs Middlesbrough,3-0,1.14,9.32,21.52
2016/2017,Unknown,Manchester Utd vs Crystal Palace,2-0,2.31,3.37,3.3
2016/2017,Unknown,Southampton vs Stoke,0-1,1.65,4.21,5.37
2016/2017,Unknown,Swansea vs West Brom,2-1,2.29,3.43,3.29
2016/2017,Unknown,Watford vs Manchester City,0-5,17.96,8.87,1.16
2016/2017,Unknown,Leicester vs Tottenham,1-6,4.14,3.9,1.87
2016/2017,Unknown,Southampton vs Manchester Utd,0-0,2.38,3.25,3.27
2016/2017,Unknown,Manchester City vs West Brom,3-1,1.15,8.86,19.53
2016/2017,Unknown,Arsenal vs Sunderland,2-0,1.12,11.05,23.89
2016/2017,Unknown,Chelsea vs Watford,4-3,1.28,6.24,11.32
2016/2017,Unknown,Tottenham vs Manchester Utd,2-1,1.64,3.99,5.83
2016/2017,Unknown,West Ham vs Liverpool,0-4,5.92,4.07,1.62
2016/2017,Unknown,Crystal Palace vs Hull,4-0,1.93,3.65,4.19
2016/2017,Unknown,Stoke vs Arsenal,1-4,5.17,4.16,1.67
2016/2017,Unknown,Bournemouth vs Burnley,2-1,1.83,3.9,4.37
2016/2017,Unknown,Middlesbrough vs Southampton,1-2,3.85,3.46,2.07
2016/2017,Unknown,Sunderland vs Swansea,0-2,3.37,3.49,2.22
2016/2017,Unknown,Manchester City vs Leicester,2-1,1.22,7.42,12.58
2016/2017,Unknown,West Brom vs Chelsea,0-1,9.79,5.1,1.36
2016/2017,Unknown,Everton vs Watford,1-0,1.42,4.87,8.25
