season,date,match_name,result,h_odd,d_odd,a_odd
2019/2020,Unknown,Arsenal vs Watford,3-2,102.0,278.0,258.0
2019/2020,Unknown,Burnley vs Brighton,1-2,163.0,236.0,174.0
2019/2020,Unknown,Chelsea vs Wolves,2-0,-110.0,237.0,358.0
2019/2020,Unknown,Crystal Palace vs Tottenham,1-1,591.0,348.0,-204.0
2019/2020,Unknown,Everton vs Bournemouth,1-3,136.0,266.0,190.0
2019/2020,Unknown,Leicester vs Manchester Utd,0-2,273.0,258.0,102.0
2019/2020,Unknown,Manchester City vs Norwich,5-0,-2500.0,1869.0,3997.0
2019/2020,Unknown,Newcastle vs Liverpool,1-3,463.0,355.0,-179.0
2019/2020,Unknown,Southampton vs Sheffield Utd,3-1,100.0,264.0,279.0
2019/2020,Unknown,West Ham vs Aston Villa,1-1,162.0,250.0,166.0
2019/2020,Unknown,Liverpool vs Chelsea,5-3,-109.0,276.0,296.0
2019/2020,Unknown,Manchester Utd vs West Ham,1-1,-400.0,547.0,1024.0
2019/2020,Unknown,Aston Villa vs Arsenal,1-0,214.0,274.0,120.0
2019/2020,Unknown,Watford vs Manchester City,0-4,823.0,509.0,-333.0
2019/2020,Unknown,Wolves vs Crystal Palace,2-0,-222.0,328.0,777.0
2019/2020,Unknown,Brighton vs Newcastle,0-0,-101.0,250.0,295.0
2019/2020,Unknown,Sheffield Utd vs Everton,0-1,-101.0,236.0,317.0
2019/2020,Unknown,Tottenham vs Leicester,3-0,133.0,238.0,217.0
2019/2020,Unknown,Bournemouth vs Southampton,0-2,143.0,277.0,175.0
2019/2020,Unknown,Norwich vs Burnley,0-2,220.0,241.0,131.0
2019/2020,Unknown,West Ham vs Watford,3-1,150.0,194.0,233.0
2019/2020,Unknown,Crystal Palace vs Manchester Utd,0-2,769.0,430.0,-278.0
2019/2020,Unknown,Southampton vs Brighton,1-1,129.0,241.0,223.0
2019/2020,Unknown,Everton vs Aston Villa,1-1,112.0,254.0,250.0
2019/2020,Unknown,Leicester vs Sheffield Utd,2-0,114.0,225.0,276.0
2019/2020,Unknown,Arsenal vs Liverpool,2-1,354.0,321.0,-139.0
2019/2020,Unknown,Burnley vs Wolves,1-1,365.0,227.0,-108.0
2019/2020,Unknown,Manchester City vs Bournemouth,2-1,-714.0,817.0,1669.0
2019/2020,Unknown,Newcastle vs Tottenham,1-3,426.0,309.0,-152.0
2019/2020,Unknown,Chelsea vs Norwich,1-0,-769.0,867.0,2029.0
2019/2020,Unknown,Manchester Utd vs Southampton,2-2,-370.0,505.0,974.0
2019/2020,Unknown,Bournemouth vs Leicester,4-1,398.0,281.0,-137.0
2019/2020,Unknown,Tottenham vs Arsenal,2-1,174.0,239.0,163.0
2019/2020,Unknown,Aston Villa vs Crystal Palace,2-0,136.0,238.0,213.0
2019/2020,Unknown,Wolves vs Everton,3-0,108.0,219.0,307.0
2019/2020,Unknown,Brighton vs Manchester City,0-5,1128.0,564.0,-417.0
2019/2020,Unknown,Sheffield Utd vs Chelsea,3-0,391.0,283.0,-135.0
2019/2020,Unknown,Liverpool vs Burnley,1-1,-455.0,574.0,1237.0
2019/2020,Unknown,Norwich vs West Ham,0-4,266.0,256.0,106.0
2019/2020,Unknown,Watford vs Newcastle,2-1,-110.0,252.0,330.0
2019/2020,Unknown,Aston Villa vs Manchester Utd,0-3,807.0,469.0,-312.0
2019/2020,Unknown,Bournemouth vs Tottenham,0-0,384.0,289.0,-135.0
2019/2020,Unknown,Everton vs Southampton,1-1,108.0,243.0,270.0
2019/2020,Unknown,Brighton vs Liverpool,1-3,509.0,305.0,-169.0
2019/2020,Unknown,Manchester City vs Newcastle,5-0,-1000.0,1044.0,2117.0
2019/2020,Unknown,Sheffield Utd vs Wolves,1-0,313.0,208.0,110.0
2019/2020,Unknown,West Ham vs Burnley,0-1,-118.0,261.0,345.0
