season,date,match_name,result,h_odd,d_odd,a_odd
2020/2021,Unknown,Arsenal vs Brighton,2-0,1.67,4.24,4.99
2020/2021,Unknown,Aston Villa vs Chelsea,2-1,6.97,4.88,1.45
2020/2021,Unknown,Fulham vs Newcastle,0-2,2.5,3.44,2.89
2020/2021,Unknown,Leeds vs West Brom,3-1,1.55,4.67,5.6
2020/2021,Unknown,Leicester vs Tottenham,2-4,1.79,4.29,4.1
2020/2021,Unknown,Liverpool vs Crystal Palace,2-0,1.16,8.69,16.3
2020/2021,Unknown,Manchester City vs Everton,5-0,1.3,6.1,9.78
2020/2021,Unknown,Sheffield Utd vs Burnley,1-0,2.81,3.5,2.53
2020/2021,Unknown,West Ham vs Southampton,3-0,1.77,3.91,4.58
2020/2021,Unknown,Wolves vs Manchester Utd,1-2,2.34,3.3,3.26
2020/2021,Unknown,Burnley vs Liverpool,0-3,9.98,6.33,1.29
2020/2021,Unknown,West Brom vs West Ham,1-3,5.11,4.31,1.64
2020/2021,Unknown,Crystal Palace vs Arsenal,1-3,6.03,4.15,1.59
2020/2021,Unknown,Everton vs Wolves,1-0,1.8,3.69,4.78
2020/2021,Unknown,Newcastle vs Sheffield Utd,1-0,1.87,3.75,4.29
2020/2021,Unknown,Tottenham vs Aston Villa,1-2,1.63,4.49,5.08
2020/2021,Unknown,Chelsea vs Leicester,2-1,1.69,3.86,5.43
2020/2021,Unknown,Brighton vs Manchester City,3-2,7.36,4.72,1.45
2020/2021,Unknown,Manchester Utd vs Fulham,1-1,1.3,5.87,10.11
2020/2021,Unknown,Southampton vs Leeds,0-2,2.65,3.84,2.5
2020/2021,Unknown,Everton vs Sheffield Utd,0-1,1.36,5.11,9.28
2020/2021,Unknown,West Brom vs Liverpool,1-2,12.86,7.23,1.22
2020/2021,Unknown,Tottenham vs Wolves,2-0,1.55,4.51,5.92
2020/2021,Unknown,Crystal Palace vs Aston Villa,3-2,3.09,3.54,2.31
2020/2021,Unknown,Brighton vs West Ham,1-1,3.5,3.58,2.12
2020/2021,Unknown,Southampton vs Fulham,3-1,1.86,3.78,4.25
2020/2021,Unknown,Burnley vs Leeds,0-4,3.54,3.84,2.03
2020/2021,Unknown,Newcastle vs Manchester City,3-4,8.77,5.76,1.33
2020/2021,Unknown,Manchester Utd vs Liverpool,2-4,2.79,3.79,2.41
2020/2021,Unknown,Aston Villa vs Everton,0-0,3.07,3.33,2.44
2020/2021,Unknown,Chelsea vs Arsenal,0-1,1.95,3.43,4.33
2020/2021,Unknown,Southampton vs Crystal Palace,3-1,1.89,3.82,4.09
2020/2021,Unknown,Manchester Utd vs Leicester,1-2,3.69,3.55,2.07
2020/2021,Unknown,Fulham vs Burnley,0-2,2.24,3.44,3.35
2020/2021,Unknown,Arsenal vs West Brom,3-1,1.49,4.56,6.68
2020/2021,Unknown,West Ham vs Everton,0-1,2.14,3.58,3.46
2020/2021,Unknown,Aston Villa vs Manchester Utd,1-3,4.49,3.99,1.78
2020/2021,Unknown,Wolves vs Brighton,2-1,3.94,3.34,2.07
2020/2021,Unknown,Liverpool vs Southampton,2-0,1.31,5.97,9.4
2020/2021,Unknown,Manchester City vs Chelsea,1-2,2.04,3.38,4.0
2020/2021,Unknown,Sheffield Utd vs Crystal Palace,0-2,2.96,3.2,2.58
2020/2021,Unknown,Leeds vs Tottenham,3-1,4.01,4.01,1.86
2020/2021,Unknown,Leicester vs Newcastle,2-4,1.39,4.99,8.36
2020/2021,Unknown,Burnley vs West Ham,1-2,3.04,3.56,2.34
2020/2021,Unknown,West Brom vs Wolves,1-1,2.56,3.13,3.05
2020/2021,Unknown,Tottenham vs Sheffield Utd,4-0,1.32,5.47,9.95
2020/2021,Unknown,Newcastle vs Arsenal,0-2,3.79,3.63,2.01
2020/2021,Unknown,Everton vs Aston Villa,1-2,1.98,3.76,3.77
2020/2021,Unknown,Chelsea vs Fulham,2-0,1.48,4.2,8.03
2020/2021,Unknown,Brighton vs Leeds,2-0,2.08,3.54,3.67
2020/2021,Unknown,Crystal Palace vs Manchester City,0-2,9.93,5.46,1.33
2020/2021,Unknown,Southampton vs Leicester,1-1,4.15,3.78,1.89
2020/2021,Unknown,Leicester vs Crystal Palace,2-1,1.43,4.68,8.03
2020/2021,Unknown,Aston Villa vs West Brom,2-2,2.08,3.5,3.7
2020/2021,Unknown,Leeds vs Manchester Utd,0-0,4.39,3.96,1.8
2020/2021,Unknown,Wolves vs Burnley,0-4,2.36,3.13,3.42
2020/2021,Unknown,Sheffield Utd vs Brighton,1-0,6.3,4.01,1.59
2020/2021,Unknown,West Ham vs Chelsea,0-1,5.32,4.01,1.67
2020/2021,Unknown,Liverpool vs Newcastle,1-1,1.21,7.42,12.65
2020/2021,Unknown,Arsenal vs Everton,0-1,2.04,3.57,3.75
2020/2021,Unknown,Leicester vs West Brom,3-0,1.64,3.96,5.74
2020/2021,Unknown,Aston Villa vs Manchester City,1-2,10.05,5.35,1.33
2020/2021,Unknown,Tottenham vs Southampton,2-1,1.85,3.85,4.23
2020/2021,Unknown,Chelsea vs Brighton,0-0,1.68,3.76,5.8
2020/2021,Unknown,Leeds vs Liverpool,1-1,5.22,4.51,1.61
2020/2021,Unknown,Manchester Utd vs Burnley,3-1,1.36,5.26,9.09
2020/2021,Unknown,Arsenal vs Fulham,1-1,1.84,3.71,4.48
2020/2021,Unknown,Wolves vs Sheffield Utd,1-0,1.78,3.47,5.3
2020/2021,Unknown,Newcastle vs West Ham,3-2,3.46,3.4,2.2
2020/2021,Unknown,Everton vs Tottenham,2-2,3.54,3.48,2.14
2020/2021,Unknown,Brighton vs Everton,0-0,2.14,3.49,3.55
2020/2021,Unknown,West Brom vs Southampton,3-0,3.58,3.56,2.1
2020/2021,Unknown,Sheffield Utd vs Arsenal,0-3,5.51,3.91,1.67
2020/2021,Unknown,Tottenham vs Manchester Utd,1-3,2.94,3.58,2.4
2020/2021,Unknown,West Ham vs Leicester,3-2,3.19,3.26,2.39
2020/2021,Unknown,Burnley vs Newcastle,1-2,2.28,3.36,3.31
2020/2021,Unknown,Crystal Palace vs Chelsea,1-4,7.49,4.24,1.5
2020/2021,Unknown,Liverpool vs Aston Villa,2-1,1.47,4.71,6.88
2020/2021,Unknown,Manchester City vs Leeds,1-2,1.38,5.29,7.98
2020/2021,Unknown,Fulham vs Wolves,0-1,2.62,3.14,2.96
2020/2021,Unknown,Wolves vs West Ham,2-3,2.91,3.19,2.62
2020/2021,Unknown,Everton vs Crystal Palace,1-1,1.83,3.52,4.78
2020/2021,Unknown,Manchester Utd vs Brighton,2-1,1.67,3.91,5.49
2020/2021,Unknown,Aston Villa vs Fulham,3-1,2.55,3.19,3.02
2020/2021,Unknown,Newcastle vs Tottenham,2-2,5.45,3.84,1.69
2020/2021,Unknown,Southampton vs Burnley,3-2,2.0,3.4,4.1
2020/2021,Unknown,Arsenal vs Liverpool,0-3,2.85,3.62,2.42
2020/2021,Unknown,Leicester vs Manchester City,0-2,5.27,3.96,1.69
2020/2021,Unknown,Leeds vs Sheffield Utd,2-1,1.58,4.18,6.1
2020/2021,Unknown,Chelsea vs West Brom,2-5,1.29,5.69,11.7
2020/2021,Unknown,Aston Villa vs Tottenham,0-2,3.08,3.44,2.37
2020/2021,Unknown,West Ham vs Arsenal,3-3,3.55,3.49,2.14
2020/2021,Unknown,Brighton vs Newcastle,3-0,1.72,3.57,5.68
2020/2021,Unknown,Fulham vs Leeds,1-2,2.58,3.31,2.87
2020/2021,Unknown,Wolves vs Liverpool,0-1,5.68,3.93,1.64
2020/2021,Unknown,Manchester Utd vs West Ham,1-0,1.8,3.63,4.88
2020/2021,Unknown,Arsenal vs Tottenham,2-1,2.68,3.32,2.75
2020/2021,Unknown,Leicester vs Sheffield Utd,5-0,1.53,4.01,7.55
2020/2021,Unknown,Southampton vs Brighton,1-2,3.27,3.22,2.38
2020/2021,Unknown,Fulham vs Manchester City,0-3,8.55,4.77,1.41
2020/2021,Unknown,Everton vs Burnley,1-2,1.99,3.34,4.24
2020/2021,Unknown,Crystal Palace vs West Brom,1-0,2.35,3.15,3.42
2020/2021,Unknown,Leeds vs Chelsea,0-0,5.15,3.96,1.7
2020/2021,Unknown,Newcastle vs Aston Villa,1-1,3.71,3.36,2.13
2020/2021,Unknown,Manchester City vs Southampton,5-2,1.18,7.69,16.91
2020/2021,Unknown,West Ham vs Leeds,2-0,2.27,3.61,3.15
2020/2021,Unknown,Chelsea vs Everton,2-0,1.62,3.92,6.02
2020/2021,Unknown,Tottenham vs Crystal Palace,4-1,1.55,4.17,6.64
2020/2021,Unknown,Manchester City vs Manchester Utd,0-2,1.5,4.44,6.88
2020/2021,Unknown,Liverpool vs Fulham,0-1,1.64,3.98,5.74
2020/2021,Unknown,West Brom vs Newcastle,0-0,2.33,3.2,3.39
2020/2021,Unknown,Brighton vs Leicester,1-2,2.53,3.2,3.04
2020/2021,Unknown,Aston Villa vs Wolves,0-0,2.62,3.16,2.95
2020/2021,Unknown,Sheffield Utd vs Southampton,0-2,3.81,3.37,2.1
2020/2021,Unknown,Burnley vs Arsenal,1-1,5.0,3.62,1.79
2020/2021,Unknown,Liverpool vs Chelsea,0-1,2.18,3.54,3.37
2020/2021,Unknown,Fulham vs Tottenham,0-1,3.98,3.44,2.02
