season,date,match_name,result,h_odd,d_odd,a_odd
2013/2014,Unknown,Tottenham vs Southampton,3-2,2.16,3.31,3.51
2013/2014,Unknown,West Ham vs Manchester Utd,0-2,4.51,3.72,1.8
2013/2014,Unknown,Cardiff vs Liverpool,3-6,9.01,5.39,1.33
2013/2014,Unknown,Everton vs Swansea,3-2,1.72,3.64,5.27
2013/2014,Unknown,Hull vs West Brom,2-0,2.25,3.2,3.44
2013/2014,Unknown,Manchester City vs Fulham,5-0,1.14,8.96,17.04
2013/2014,Unknown,Newcastle vs Crystal Palace,1-0,2.0,3.3,4.09
2013/2014,Unknown,Norwich vs Sunderland,2-0,2.27,3.23,3.37
2013/2014,Unknown,Chelsea vs Arsenal,6-0,1.83,3.48,4.68
2013/2014,Unknown,Tottenham vs Arsenal,0-1,3.28,3.38,2.23
2013/2014,Unknown,Manchester Utd vs Liverpool,0-3,2.47,3.46,2.81
2013/2014,Unknown,Aston Villa vs Chelsea,1-0,6.83,4.13,1.52
2013/2014,Unknown,Everton vs Cardiff,2-1,1.31,5.21,10.24
2013/2014,Unknown,Fulham vs Newcastle,1-0,2.73,3.35,2.6
2013/2014,Unknown,Southampton vs Norwich,4-2,1.56,3.93,6.6
2013/2014,Unknown,Stoke vs West Ham,3-1,2.27,3.17,3.41
2013/2014,Unknown,Sunderland vs Crystal Palace,0-0,2.17,3.24,3.58
2013/2014,Unknown,Swansea vs West Brom,1-2,1.92,3.42,4.24
2013/2014,Unknown,Hull vs Manchester City,0-2,6.07,4.15,1.56
2013/2014,Unknown,Chelsea vs Tottenham,4-0,1.52,4.13,6.83
2013/2014,Unknown,Cardiff vs Fulham,3-1,2.3,3.33,3.24
2013/2014,Unknown,Crystal Palace vs Southampton,0-1,3.64,3.26,2.14
2013/2014,Unknown,Norwich vs Stoke,1-1,2.23,3.2,3.5
2013/2014,Unknown,West Brom vs Manchester Utd,0-3,4.54,3.52,1.84
2013/2014,Unknown,Aston Villa vs Norwich,4-1,2.17,3.31,3.52
2013/2014,Unknown,Swansea vs Crystal Palace,1-1,1.79,3.49,4.99
2013/2014,Unknown,Tottenham vs Cardiff,1-0,1.33,5.02,10.07
2013/2014,Unknown,Southampton vs Liverpool,0-3,3.65,3.54,2.03
2013/2014,Unknown,Everton vs West Ham,1-0,1.49,4.2,7.27
2013/2014,Unknown,Fulham vs Chelsea,1-3,7.54,4.53,1.45
2013/2014,Unknown,Hull vs Newcastle,1-4,2.28,3.2,3.38
2013/2014,Unknown,Stoke vs Arsenal,1-0,5.19,3.59,1.74
2013/2014,Unknown,Norwich vs Tottenham,1-0,3.73,3.45,2.03
2013/2014,Unknown,Liverpool vs Swansea,4-3,1.28,5.75,10.94
2013/2014,Unknown,Newcastle vs Aston Villa,1-0,1.96,3.44,4.03
2013/2014,Unknown,Crystal Palace vs Manchester Utd,0-2,6.26,3.91,1.57
2013/2014,Unknown,Arsenal vs Sunderland,4-1,1.33,5.14,10.04
2013/2014,Unknown,Cardiff vs Hull,0-4,2.9,3.07,2.65
2013/2014,Unknown,Manchester City vs Stoke,1-0,1.17,7.7,15.91
2013/2014,Unknown,West Brom vs Fulham,1-1,1.73,3.74,4.93
2013/2014,Unknown,West Ham vs Southampton,3-1,3.45,3.35,2.18
2013/2014,Unknown,Chelsea vs Everton,1-0,1.59,3.87,6.35
2013/2014,Unknown,Fulham vs Liverpool,2-3,7.82,5.07,1.38
2013/2014,Unknown,Stoke vs Swansea,1-1,2.76,3.07,2.75
2013/2014,Unknown,Arsenal vs Manchester Utd,0-0,2.31,3.29,3.21
2013/2014,Unknown,Newcastle vs Tottenham,0-4,3.01,3.34,2.39
2013/2014,Unknown,West Brom vs Chelsea,1-1,7.2,4.3,1.48
2013/2014,Unknown,Cardiff vs Aston Villa,0-0,2.64,3.28,2.74
2013/2014,Unknown,Hull vs Southampton,0-1,2.84,3.16,2.61
2013/2014,Unknown,West Ham vs Norwich,2-0,2.15,3.33,3.55
2013/2014,Unknown,Manchester Utd vs Fulham,2-2,1.16,7.9,16.77
2013/2014,Unknown,Tottenham vs Everton,1-0,2.17,3.33,3.46
2013/2014,Unknown,Swansea vs Cardiff,3-0,1.89,3.47,4.35
2013/2014,Unknown,Aston Villa vs West Ham,0-2,2.09,3.34,3.71
2013/2014,Unknown,Chelsea vs Newcastle,3-0,1.22,6.31,14.2
2013/2014,Unknown,Crystal Palace vs West Brom,3-1,2.54,3.16,2.96
2013/2014,Unknown,Norwich vs Manchester City,0-0,8.15,5.04,1.38
2013/2014,Unknown,Southampton vs Stoke,2-2,1.51,4.06,7.33
2013/2014,Unknown,Sunderland vs Hull,0-2,2.31,3.18,3.34
2013/2014,Unknown,Liverpool vs Arsenal,5-1,2.24,3.48,3.21
2013/2014,Unknown,Manchester City vs Chelsea,0-1,2.02,3.42,3.82
2013/2014,Unknown,Arsenal vs Crystal Palace,2-0,1.22,6.24,14.35
2013/2014,Unknown,West Brom vs Liverpool,1-1,5.41,4.12,1.61
2013/2014,Unknown,Cardiff vs Norwich,2-1,2.14,3.31,3.63
2013/2014,Unknown,Everton vs Aston Villa,2-1,1.56,4.03,6.34
2013/2014,Unknown,Fulham vs Southampton,0-3,3.51,3.33,2.16
2013/2014,Unknown,Hull vs Tottenham,1-1,3.68,3.37,2.09
2013/2014,Unknown,Stoke vs Manchester Utd,2-1,7.57,4.36,1.46
2013/2014,Unknown,Newcastle vs Sunderland,0-3,1.97,3.37,4.11
2013/2014,Unknown,West Ham vs Swansea,2-0,2.79,3.26,2.61
2013/2014,Unknown,Aston Villa vs West Brom,4-3,2.57,3.15,2.9
2013/2014,Unknown,Chelsea vs West Ham,0-0,1.17,7.37,16.3
2013/2014,Unknown,Sunderland vs Stoke,1-0,2.02,3.34,3.93
2013/2014,Unknown,Tottenham vs Manchester City,1-5,4.02,3.73,1.88
2013/2014,Unknown,Crystal Palace vs Hull,1-0,2.47,3.07,3.14
2013/2014,Unknown,Liverpool vs Everton,4-0,1.78,3.75,4.52
2013/2014,Unknown,Manchester Utd vs Cardiff,2-0,1.21,6.48,14.74
2013/2014,Unknown,Norwich vs Newcastle,0-0,2.56,3.24,2.83
2013/2014,Unknown,Southampton vs Arsenal,2-2,3.94,3.48,1.98
2013/2014,Unknown,Swansea vs Fulham,2-0,1.68,3.75,5.34
2013/2014,Unknown,West Brom vs Everton,1-1,3.87,3.45,2.0
2013/2014,Unknown,Chelsea vs Manchester Utd,3-1,1.67,3.78,5.4
2013/2014,Unknown,Swansea vs Tottenham,1-3,3.06,3.35,2.35
2013/2014,Unknown,Liverpool vs Aston Villa,2-2,1.2,7.15,13.59
2013/2014,Unknown,Arsenal vs Fulham,2-0,1.2,7.1,14.12
2013/2014,Unknown,Crystal Palace vs Stoke,1-0,2.23,3.23,3.43
2013/2014,Unknown,Manchester City vs Cardiff,4-2,1.1,10.54,22.8
2013/2014,Unknown,Norwich vs Hull,1-0,2.49,3.21,2.98
2013/2014,Unknown,West Ham vs Newcastle,1-3,2.96,3.33,2.43
2013/2014,Unknown,Sunderland vs Southampton,2-2,2.96,3.23,2.49
2013/2014,Unknown,Aston Villa vs Arsenal,1-2,6.94,4.41,1.48
2013/2014,Unknown,Stoke vs Liverpool,3-5,6.57,4.38,1.5
2013/2014,Unknown,Newcastle vs Manchester City,0-2,5.66,4.16,1.59
2013/2014,Unknown,Manchester Utd vs Swansea,2-0,1.56,4.02,6.37
2013/2014,Unknown,Cardiff vs West Ham,0-2,2.02,3.46,3.8
2013/2014,Unknown,Everton vs Norwich,2-0,1.35,4.94,9.54
2013/2014,Unknown,Fulham vs Sunderland,1-4,2.14,3.29,3.61
2013/2014,Unknown,Southampton vs West Brom,1-0,1.81,3.58,4.61
2013/2014,Unknown,Tottenham vs Crystal Palace,2-0,1.4,4.71,8.38
2013/2014,Unknown,Hull vs Chelsea,0-2,6.01,3.76,1.63
2013/2014,Unknown,Manchester Utd vs Tottenham,1-2,1.66,3.95,5.17
2013/2014,Unknown,Arsenal vs Cardiff,2-0,1.25,6.03,11.97
2013/2014,Unknown,Crystal Palace vs Norwich,1-1,2.31,3.21,3.27
2013/2014,Unknown,Fulham vs West Ham,2-1,2.31,3.33,3.17
2013/2014,Unknown,Liverpool vs Hull,2-0,1.31,5.44,10.08
2013/2014,Unknown,Southampton vs Chelsea,0-3,3.75,3.37,2.06
2013/2014,Unknown,Stoke vs Everton,1-1,4.42,3.53,1.85
2013/2014,Unknown,Sunderland vs Aston Villa,0-1,2.09,3.34,3.69
2013/2014,Unknown,West Brom vs Newcastle,1-0,2.34,3.39,3.06
2013/2014,Unknown,Swansea vs Manchester City,2-3,5.45,3.87,1.66
2013/2014,Unknown,Chelsea vs Liverpool,2-1,2.19,3.37,3.36
2013/2014,Unknown,Tottenham vs Stoke,3-0,1.44,4.38,7.93
2013/2014,Unknown,Everton vs Southampton,2-1,1.93,3.45,4.13
2013/2014,Unknown,Newcastle vs Arsenal,0-1,3.26,3.33,2.27
2013/2014,Unknown,Cardiff vs Sunderland,2-2,2.37,3.23,3.12
2013/2014,Unknown,Aston Villa vs Swansea,1-1,2.94,3.25,2.49
2013/2014,Unknown,Hull vs Fulham,6-0,2.01,3.33,3.98
2013/2014,Unknown,Manchester City vs Crystal Palace,1-0,1.13,8.8,19.74
2013/2014,Unknown,Norwich vs Manchester Utd,0-1,5.23,3.82,1.68
2013/2014,Unknown,West Ham vs West Brom,3-3,2.53,3.23,2.9
2013/2014,Unknown,Manchester City vs Liverpool,2-1,1.78,3.89,4.38
2013/2014,Unknown,Aston Villa vs Crystal Palace,0-1,1.91,3.36,4.39
2013/2014,Unknown,Cardiff vs Southampton,0-3,3.21,3.31,2.3
2013/2014,Unknown,Chelsea vs Swansea,1-0,1.32,5.3,10.27
2013/2014,Unknown,Everton vs Sunderland,0-1,1.33,5.25,9.65
2013/2014,Unknown,Newcastle vs Stoke,5-1,1.71,3.58,5.35
2013/2014,Unknown,Norwich vs Fulham,1-2,1.91,3.5,4.18
2013/2014,Unknown,Tottenham vs West Brom,1-1,1.56,4.11,6.12
2013/2014,Unknown,West Ham vs Arsenal,1-3,6.01,4.16,1.55
2013/2014,Unknown,Hull vs Manchester Utd,2-3,5.81,3.76,1.63
2013/2014,Unknown,Arsenal vs Chelsea,0-0,2.48,3.25,2.95
2013/2014,Unknown,Swansea vs Everton,1-2,3.27,3.35,2.26
2013/2014,Unknown,Southampton vs Tottenham,2-3,2.5,3.31,2.86
