season,date,match_name,result,h_odd,d_odd,a_odd
2005/2006,Unknown,Arsenal vs Wigan,4-2,1.19,5.97,12.78
2005/2006,Unknown,Aston Villa vs Sunderland,2-1,1.58,3.65,5.8
2005/2006,Unknown,Blackburn vs Manchester City,2-0,2.02,3.24,3.62
2005/2006,Unknown,Bolton vs Birmingham,1-0,1.52,3.74,6.43
2005/2006,Unknown,Everton vs West Brom,2-2,1.63,3.5,5.45
2005/2006,Unknown,Fulham vs Middlesbrough,1-0,1.62,3.56,5.48
2005/2006,Unknown,Manchester Utd vs Charlton,4-0,1.2,5.94,13.1
2005/2006,Unknown,Newcastle vs Chelsea,1-0,2.77,3.2,2.46
2005/2006,Unknown,Portsmouth vs Liverpool,1-3,5.82,3.69,1.56
2005/2006,Unknown,West Ham vs Tottenham,2-1,3.49,3.39,2.02
2005/2006,Unknown,Manchester City vs Arsenal,1-3,5.74,3.67,1.58
2005/2006,Unknown,Sunderland vs Fulham,2-1,3.11,3.3,2.2
2005/2006,Unknown,Bolton vs Middlesbrough,1-1,1.5,3.82,6.39
2005/2006,Unknown,Blackburn vs Chelsea,1-0,2.89,3.21,2.38
2005/2006,Unknown,Manchester Utd vs Middlesbrough,0-0,1.24,5.35,11.67
2005/2006,Unknown,West Brom vs West Ham,0-1,2.27,3.27,3.01
2005/2006,Unknown,Sunderland vs Arsenal,0-3,10.33,4.78,1.29
2005/2006,Unknown,Tottenham vs Bolton,1-0,1.72,3.45,5.04
2005/2006,Unknown,Charlton vs Blackburn,0-2,3.1,3.24,2.24
2005/2006,Unknown,Birmingham vs Newcastle,0-0,2.38,3.28,2.85
2005/2006,Unknown,Liverpool vs Aston Villa,3-1,1.33,4.43,10.06
2005/2006,Unknown,Manchester City vs Fulham,1-2,1.75,3.43,4.66
2005/2006,Unknown,Middlesbrough vs Everton,0-1,2.62,3.19,2.62
2005/2006,Unknown,Wigan vs Portsmouth,1-2,2.45,3.26,2.77
2005/2006,Unknown,Chelsea vs Manchester Utd,3-0,2.15,3.07,3.62
2005/2006,Unknown,West Ham vs Liverpool,1-2,4.38,3.3,1.85
2005/2006,Unknown,Aston Villa vs Manchester City,0-1,2.28,3.19,3.1
2005/2006,Unknown,Fulham vs Wigan,1-0,2.16,3.19,3.36
2005/2006,Unknown,Bolton vs Charlton,4-1,1.69,3.4,5.23
2005/2006,Unknown,Everton vs Birmingham,0-0,2.18,3.24,3.18
2005/2006,Unknown,Newcastle vs West Brom,3-0,1.74,3.37,4.8
2005/2006,Unknown,Portsmouth vs Sunderland,2-1,1.36,4.29,8.65
2005/2006,Unknown,Arsenal vs Tottenham,1-1,1.67,3.48,5.35
2005/2006,Unknown,Birmingham vs Blackburn,2-1,2.53,3.17,2.7
2005/2006,Unknown,Wigan vs Aston Villa,3-2,2.14,3.21,3.34
2005/2006,Unknown,West Brom vs Bolton,0-0,2.39,3.21,2.87
2005/2006,Unknown,Charlton vs Portsmouth,2-1,2.43,3.18,2.87
2005/2006,Unknown,Chelsea vs Everton,3-0,1.22,5.56,13.5
2005/2006,Unknown,Middlesbrough vs West Ham,2-0,2.52,3.2,2.73
2005/2006,Unknown,Sunderland vs Newcastle,1-4,3.79,3.21,1.97
2005/2006,Unknown,Tottenham vs Manchester Utd,1-2,3.38,3.19,2.16
2005/2006,Unknown,Blackburn vs Liverpool,0-1,3.15,3.14,2.32
2005/2006,Unknown,Aston Villa vs Birmingham,3-1,2.39,3.09,3.09
2005/2006,Unknown,Arsenal vs West Brom,3-1,1.24,5.28,11.67
2005/2006,Unknown,Everton vs Tottenham,0-1,2.57,3.15,2.69
2005/2006,Unknown,Fulham vs Charlton,2-1,1.99,3.24,3.7
2005/2006,Unknown,Newcastle vs Wigan,3-1,1.89,3.34,4.04
2005/2006,Unknown,Portsmouth vs Middlesbrough,1-0,1.72,3.5,4.71
2005/2006,Unknown,West Ham vs Manchester City,1-0,2.24,3.19,3.08
2005/2006,Unknown,Bolton vs Chelsea,0-2,4.97,3.44,1.71
2005/2006,Unknown,Manchester Utd vs Sunderland,0-0,1.1,7.79,23.88
2005/2006,Unknown,Portsmouth vs Arsenal,1-1,5.2,3.53,1.66
2005/2006,Unknown,Manchester Utd vs Arsenal,2-0,2.04,3.2,3.68
2005/2006,Unknown,Middlesbrough vs Newcastle,1-2,2.47,3.12,2.83
2005/2006,Unknown,Liverpool vs Bolton,1-0,1.5,3.64,7.15
2005/2006,Unknown,Aston Villa vs West Brom,0-0,2.09,3.18,3.48
2005/2006,Unknown,Chelsea vs West Ham,4-1,1.25,5.04,11.87
2005/2006,Unknown,Wigan vs Birmingham,1-1,2.01,3.29,3.61
2005/2006,Unknown,Charlton vs Everton,0-0,2.41,3.15,2.9
2005/2006,Unknown,Portsmouth vs Blackburn,2-2,2.5,3.21,2.7
2005/2006,Unknown,Tottenham vs Manchester City,2-1,1.63,3.5,5.77
2005/2006,Unknown,Birmingham vs Bolton,1-0,2.8,3.18,2.46
2005/2006,Unknown,Blackburn vs Wigan,1-1,1.77,3.36,4.75
2005/2006,Unknown,West Ham vs Charlton,0-0,2.08,3.25,3.48
2005/2006,Unknown,Manchester City vs Middlesbrough,0-1,2.0,3.26,3.7
2005/2006,Unknown,West Brom vs Liverpool,0-2,5.73,3.55,1.59
2005/2006,Unknown,Arsenal vs Aston Villa,5-0,1.28,4.94,10.87
2005/2006,Unknown,Bolton vs Manchester Utd,1-2,3.85,3.29,1.97
2005/2006,Unknown,Everton vs Sunderland,2-2,1.35,4.4,9.06
2005/2006,Unknown,Fulham vs Portsmouth,1-3,2.01,3.28,3.61
2005/2006,Unknown,Newcastle vs Tottenham,3-1,2.65,3.18,2.61
2005/2006,Unknown,Birmingham vs Chelsea,0-0,10.19,4.65,1.31
2005/2006,Unknown,Manchester Utd vs West Ham,1-0,1.3,4.99,9.1
2005/2006,Unknown,Tottenham vs West Brom,2-1,1.42,4.02,7.89
2005/2006,Unknown,Manchester Utd vs Birmingham,3-0,1.18,6.12,14.67
2005/2006,Unknown,Charlton vs Newcastle,3-1,2.42,3.15,2.87
2005/2006,Unknown,Middlesbrough vs Bolton,4-3,2.75,3.21,2.48
2005/2006,Unknown,Aston Villa vs Fulham,0-0,2.02,3.24,3.61
2005/2006,Unknown,Chelsea vs Manchester City,2-0,1.25,5.1,12.38
2005/2006,Unknown,Sunderland vs Blackburn,0-1,5.05,3.44,1.7
2005/2006,Unknown,Wigan vs West Ham,1-2,2.02,3.23,3.56
2005/2006,Unknown,Liverpool vs Everton,3-1,1.59,3.49,6.24
2005/2006,Unknown,Fulham vs Chelsea,1-0,7.66,4.07,1.43
2005/2006,Unknown,Newcastle vs Liverpool,1-3,3.19,3.16,2.24
2005/2006,Unknown,Birmingham vs Tottenham,0-2,3.18,3.17,2.23
2005/2006,Unknown,Arsenal vs Charlton,3-0,1.35,4.39,8.96
2005/2006,Unknown,Blackburn vs Middlesbrough,3-2,1.81,3.32,4.46
2005/2006,Unknown,Bolton vs Sunderland,2-0,1.38,4.12,9.39
2005/2006,Unknown,Manchester City vs Wigan,0-1,2.04,3.24,3.58
2005/2006,Unknown,West Brom vs Manchester Utd,1-2,6.66,3.74,1.51
2005/2006,Unknown,West Ham vs Portsmouth,2-4,1.86,3.29,4.21
2005/2006,Unknown,Everton vs Aston Villa,4-1,1.87,3.27,4.22
2005/2006,Unknown,Liverpool vs Fulham,5-1,1.37,4.19,9.11
2005/2006,Unknown,Arsenal vs Liverpool,2-1,2.25,3.11,3.32
2005/2006,Unknown,Charlton vs Middlesbrough,2-1,2.1,3.2,3.41
2005/2006,Unknown,Manchester Utd vs Newcastle,2-0,1.44,3.95,7.62
2005/2006,Unknown,Blackburn vs Aston Villa,2-0,1.88,3.23,4.19
2005/2006,Unknown,Everton vs Fulham,3-1,1.86,3.24,4.3
2005/2006,Unknown,Portsmouth vs Manchester City,2-1,2.8,3.16,2.45
2005/2006,Unknown,Sunderland vs Wigan,0-1,3.1,3.21,2.25
2005/2006,Unknown,Bolton vs West Ham,4-1,1.9,3.28,3.89
2005/2006,Unknown,Chelsea vs Tottenham,2-1,1.86,3.25,7.94
2005/2006,Unknown,Birmingham vs West Brom,1-1,2.01,3.16,3.73
2005/2006,Unknown,Wigan vs Manchester Utd,1-2,6.03,3.66,1.6
2005/2006,Unknown,Tottenham vs Blackburn,3-2,1.94,3.17,4.11
2005/2006,Unknown,Manchester City vs Sunderland,2-1,1.42,4.03,8.05
2005/2006,Unknown,Liverpool vs Charlton,0-0,1.48,3.79,7.38
2005/2006,Unknown,Aston Villa vs Portsmouth,1-0,1.74,3.34,4.8
2005/2006,Unknown,Fulham vs Arsenal,0-4,3.14,3.24,2.19
2005/2006,Unknown,Middlesbrough vs Birmingham,1-0,1.86,3.27,4.16
2005/2006,Unknown,Newcastle vs Bolton,3-1,2.39,3.14,2.98
2005/2006,Unknown,West Ham vs Everton,2-2,2.07,3.19,3.54
2005/2006,Unknown,West Brom vs Chelsea,1-2,7.64,4.01,1.44
2005/2006,Unknown,West Brom vs Middlesbrough,0-2,2.41,3.15,2.92
2005/2006,Unknown,Bolton vs Fulham,2-1,1.9,3.26,4.07
2005/2006,Unknown,Liverpool vs Manchester City,1-0,1.58,3.55,6.39
2005/2006,Unknown,Newcastle vs Everton,2-0,2.14,3.18,3.3
2005/2006,Unknown,Birmingham vs Sunderland,1-0,1.68,3.45,5.19
2005/2006,Unknown,Blackburn vs Arsenal,1-0,2.95,3.28,2.34
2005/2006,Unknown,Charlton vs Aston Villa,0-0,2.26,3.2,3.12
2005/2006,Unknown,Chelsea vs Portsmouth,2-0,1.19,6.37,9.99
2005/2006,Unknown,Newcastle vs Charlton,0-0,1.84,3.28,4.35
2005/2006,Unknown,Tottenham vs Wigan,2-2,1.64,3.49,5.52
2005/2006,Unknown,Blackburn vs Sunderland,2-0,1.45,3.86,7.54
2005/2006,Unknown,Liverpool vs Arsenal,1-0,2.08,3.15,3.62
2005/2006,Unknown,West Ham vs Birmingham,3-0,1.82,3.31,4.36
2005/2006,Unknown,Manchester City vs Charlton,3-2,1.79,3.37,4.49
2005/2006,Unknown,Sunderland vs Tottenham,1-1,5.33,3.49,1.66
