season,date,match_name,result,h_odd,d_odd,a_odd
2018/2019,Unknown,Brighton vs Manchester City,1-4,15.15,7.8,1.19
2018/2019,Unknown,Burnley vs Arsenal,1-3,2.52,3.63,2.76
2018/2019,Unknown,Crystal Palace vs Bournemouth,5-3,1.78,4.27,4.2
2018/2019,Unknown,Fulham vs Newcastle,0-4,2.43,3.54,2.93
2018/2019,Unknown,Leicester vs Chelsea,0-0,2.4,3.63,2.9
2018/2019,Unknown,Liverpool vs Wolves,2-0,1.31,5.87,9.88
2018/2019,Unknown,Manchester Utd vs Cardiff,0-2,1.31,6.03,9.62
2018/2019,Unknown,Southampton vs Huddersfield,1-1,1.4,5.03,8.16
2018/2019,Unknown,Tottenham vs Everton,2-2,1.91,3.72,4.18
2018/2019,Unknown,Watford vs West Ham,1-4,2.12,3.77,3.37
2018/2019,Unknown,Manchester City vs Leicester,1-0,1.17,8.93,15.03
2018/2019,Unknown,Arsenal vs Brighton,1-1,1.28,5.95,11.95
2018/2019,Unknown,Chelsea vs Watford,3-0,1.31,5.9,10.03
2018/2019,Unknown,Huddersfield vs Manchester Utd,1-1,9.56,5.65,1.33
2018/2019,Unknown,Newcastle vs Liverpool,2-3,9.25,5.42,1.35
2018/2019,Unknown,Cardiff vs Crystal Palace,2-3,2.55,3.73,2.65
2018/2019,Unknown,West Ham vs Southampton,3-0,2.31,3.59,3.1
2018/2019,Unknown,Wolves vs Fulham,1-0,1.48,4.38,7.58
2018/2019,Unknown,Bournemouth vs Tottenham,1-0,5.74,4.64,1.55
2018/2019,Unknown,Everton vs Burnley,2-0,1.67,3.87,5.63
2018/2019,Unknown,Manchester Utd vs Chelsea,1-1,2.69,3.35,2.73
2018/2019,Unknown,Burnley vs Manchester City,0-1,17.25,9.1,1.15
2018/2019,Unknown,Leicester vs Arsenal,3-0,2.64,3.61,2.62
2018/2019,Unknown,Brighton vs Newcastle,1-1,2.21,3.26,3.62
2018/2019,Unknown,Crystal Palace vs Everton,0-0,2.96,3.41,2.46
2018/2019,Unknown,Fulham vs Cardiff,1-0,2.23,3.62,3.23
2018/2019,Unknown,Southampton vs Bournemouth,3-3,1.8,3.93,4.44
2018/2019,Unknown,Watford vs Wolves,1-2,2.67,3.21,2.85
2018/2019,Unknown,Tottenham vs West Ham,0-1,1.35,5.44,8.95
2018/2019,Unknown,Liverpool vs Huddersfield,5-0,1.06,14.93,38.46
2018/2019,Unknown,Manchester Utd vs Manchester City,0-2,6.38,4.67,1.5
2018/2019,Unknown,Wolves vs Arsenal,3-1,2.74,3.39,2.66
2018/2019,Unknown,Tottenham vs Brighton,1-0,1.26,6.12,13.29
2018/2019,Unknown,Watford vs Southampton,1-1,2.19,3.42,3.48
2018/2019,Unknown,Chelsea vs Burnley,2-2,1.23,6.6,14.4
2018/2019,Unknown,Arsenal vs Crystal Palace,2-3,1.51,4.62,6.27
2018/2019,Unknown,Cardiff vs Liverpool,0-2,15.95,7.81,1.18
2018/2019,Unknown,Everton vs Manchester Utd,4-0,3.23,3.5,2.28
2018/2019,Unknown,Newcastle vs Southampton,3-1,2.45,3.06,3.32
2018/2019,Unknown,Bournemouth vs Fulham,0-1,1.7,4.17,4.79
2018/2019,Unknown,Huddersfield vs Watford,1-2,4.06,3.57,1.96
2018/2019,Unknown,West Ham vs Leicester,2-2,3.24,3.55,2.24
2018/2019,Unknown,Wolves vs Brighton,0-0,1.95,3.16,4.81
2018/2019,Unknown,Manchester City vs Tottenham,1-0,1.27,6.38,10.67
2018/2019,Unknown,Brighton vs Cardiff,0-2,2.0,3.24,4.4
2018/2019,Unknown,Watford vs Arsenal,0-1,3.59,3.67,2.07
2018/2019,Unknown,Liverpool vs Chelsea,2-0,1.73,3.78,5.19
2018/2019,Unknown,Crystal Palace vs Manchester City,1-3,12.85,6.85,1.23
2018/2019,Unknown,Manchester Utd vs West Ham,2-1,1.32,5.77,9.59
2018/2019,Unknown,Brighton vs Bournemouth,0-5,2.28,3.27,3.42
2018/2019,Unknown,Burnley vs Cardiff,2-0,1.85,3.56,4.65
2018/2019,Unknown,Fulham vs Everton,2-0,4.93,4.12,1.69
2018/2019,Unknown,Southampton vs Wolves,3-1,2.7,3.14,2.87
2018/2019,Unknown,Tottenham vs Huddersfield,4-0,1.21,6.76,16.55
2018/2019,Unknown,Leicester vs Newcastle,0-1,1.66,3.82,5.79
2018/2019,Unknown,Chelsea vs West Ham,2-0,1.23,6.72,13.32
2018/2019,Unknown,Everton vs Arsenal,1-0,2.86,3.49,2.51
2018/2019,Unknown,Bournemouth vs Burnley,1-3,2.05,3.53,3.77
2018/2019,Unknown,Huddersfield vs Leicester,1-4,5.44,4.05,1.65
2018/2019,Unknown,Newcastle vs Crystal Palace,0-1,2.68,3.13,2.9
2018/2019,Unknown,Southampton vs Liverpool,1-3,8.75,5.18,1.37
2018/2019,Unknown,Chelsea vs Brighton,3-0,1.29,5.55,12.8
