season,date,match_name,result,h_odd,d_odd,a_odd,source_file
2006/2007,Unknown,Wigan vs West Ham,0-3,2.28,3.23,3.07,2006-2007_full.csv
2006/2007,Unknown,Chelsea vs Bolton,2-2,1.27,5.0,11.0,2006-2007_full.csv
2006/2007,Unknown,Everton vs Manchester Utd,2-4,5.03,3.55,1.69,2006-2007_full.csv
2006/2007,Unknown,Aston Villa vs Portsmouth,0-0,2.13,3.2,3.43,2006-2007_full.csv
2006/2007,Unknown,Newcastle vs Chelsea,0-0,7.57,3.87,1.47,2006-2007_full.csv
2006/2007,Unknown,Manchester Utd vs Middlesbrough,1-1,1.2,5.91,13.64,2006-2007_full.csv
2006/2007,Unknown,Bolton vs Reading,1-3,1.78,3.45,4.55,2006-2007_full.csv
2006/2007,Unknown,Charlton vs Sheffield Utd,1-1,2.01,3.25,3.73,2006-2007_full.csv
2006/2007,Unknown,Fulham vs Blackburn,1-1,2.31,3.18,3.08,2006-2007_full.csv
2006/2007,Unknown,Liverpool vs Wigan,2-0,1.4,4.33,8.17,2006-2007_full.csv
2006/2007,Unknown,Watford vs Manchester City,1-1,2.76,3.24,2.49,2006-2007_full.csv
2006/2007,Unknown,West Ham vs Everton,1-0,2.45,3.25,2.82,2006-2007_full.csv
2006/2007,Unknown,Tottenham vs Arsenal,2-2,2.73,3.22,2.57,2006-2007_full.csv
2006/2007,Unknown,Blackburn vs Watford,3-1,1.59,3.5,6.06,2006-2007_full.csv
2006/2007,Unknown,Liverpool vs Middlesbrough,2-0,1.36,4.35,9.0,2006-2007_full.csv
2006/2007,Unknown,West Ham vs Chelsea,1-4,7.01,3.83,1.49,2006-2007_full.csv
2006/2007,Unknown,Manchester Utd vs Sheffield Utd,2-0,1.14,6.92,16.16,2006-2007_full.csv
2006/2007,Unknown,Arsenal vs Manchester City,3-1,1.4,4.26,8.27,2006-2007_full.csv
2006/2007,Unknown,Everton vs Charlton,2-1,1.74,3.42,4.92,2006-2007_full.csv
2006/2007,Unknown,Wigan vs Tottenham,3-3,2.9,3.25,2.38,2006-2007_full.csv
2006/2007,Unknown,Manchester City vs Liverpool,0-0,4.48,3.32,1.83,2006-2007_full.csv
2006/2007,Unknown,Middlesbrough vs Aston Villa,1-3,2.27,3.18,3.2,2006-2007_full.csv
2006/2007,Unknown,Portsmouth vs Newcastle,2-1,2.07,3.26,3.54,2006-2007_full.csv
2006/2007,Unknown,Arsenal vs Bolton,2-1,1.68,3.5,5.4,2006-2007_full.csv
2006/2007,Unknown,Reading vs Fulham,1-0,1.88,3.3,4.16,2006-2007_full.csv
2006/2007,Unknown,Sheffield Utd vs West Ham,3-0,2.47,3.2,2.82,2006-2007_full.csv
2006/2007,Unknown,Charlton vs Reading,0-0,2.13,3.22,3.35,2006-2007_full.csv
2006/2007,Unknown,Aston Villa vs Wigan,1-1,1.97,3.23,3.95,2006-2007_full.csv
2006/2007,Unknown,Bolton vs Everton,1-1,2.27,3.17,3.22,2006-2007_full.csv
2006/2007,Unknown,Fulham vs Manchester City,1-3,2.23,3.22,3.25,2006-2007_full.csv
2006/2007,Unknown,Newcastle vs Arsenal,0-0,3.43,3.22,2.15,2006-2007_full.csv
2006/2007,Unknown,Watford vs Portsmouth,4-2,2.99,3.24,2.36,2006-2007_full.csv
2006/2007,Unknown,Portsmouth vs Manchester Utd,2-1,6.48,3.58,1.58,2006-2007_full.csv
2006/2007,Unknown,Arsenal vs West Ham,0-1,1.43,4.23,7.52,2006-2007_full.csv
2006/2007,Unknown,Blackburn vs Aston Villa,1-2,2.01,3.14,3.94,2006-2007_full.csv
2006/2007,Unknown,Middlesbrough vs Watford,4-1,1.73,3.37,5.1,2006-2007_full.csv
2006/2007,Unknown,Reading vs Liverpool,1-2,4.22,3.33,1.88,2006-2007_full.csv
2006/2007,Unknown,Sheffield Utd vs Newcastle,1-2,2.33,3.22,2.98,2006-2007_full.csv
2006/2007,Unknown,Wigan vs Bolton,1-3,2.48,3.17,2.79,2006-2007_full.csv
2006/2007,Unknown,Chelsea vs Tottenham,1-0,1.43,4.15,7.78,2006-2007_full.csv
2006/2007,Unknown,Everton vs Fulham,4-1,1.69,3.47,5.26,2006-2007_full.csv
2006/2007,Unknown,Manchester City vs Charlton,0-0,1.99,3.27,3.82,2006-2007_full.csv
2006/2007,Unknown,Aston Villa vs Everton,1-1,2.32,3.15,3.12,2006-2007_full.csv
2006/2007,Unknown,Tottenham vs Reading,1-0,1.73,3.45,5.05,2006-2007_full.csv
2006/2007,Unknown,Watford vs Chelsea,0-1,11.25,4.7,1.31,2006-2007_full.csv
2006/2007,Unknown,Bolton vs Sheffield Utd,1-0,1.69,3.47,5.33,2006-2007_full.csv
2006/2007,Unknown,Charlton vs Wigan,1-0,2.21,3.19,3.33,2006-2007_full.csv
2006/2007,Unknown,Fulham vs Portsmouth,1-1,2.29,3.21,3.14,2006-2007_full.csv
2006/2007,Unknown,Manchester Utd vs Blackburn,4-1,1.32,4.75,11.0,2006-2007_full.csv
2006/2007,Unknown,Newcastle vs Manchester City,0-1,2.03,3.23,3.72,2006-2007_full.csv
2006/2007,Unknown,West Ham vs Middlesbrough,2-0,2.1,3.3,3.4,2006-2007_full.csv
2006/2007,Unknown,Liverpool vs Arsenal,4-1,2.2,3.23,3.35,2006-2007_full.csv
2006/2007,Unknown,Everton vs Arsenal,1-0,3.4,3.25,2.13,2006-2007_full.csv
2006/2007,Unknown,Aston Villa vs Liverpool,0-0,4.05,3.25,1.93,2006-2007_full.csv
2006/2007,Unknown,Charlton vs Newcastle,2-0,2.45,3.22,2.83,2006-2007_full.csv
2006/2007,Unknown,Blackburn vs West Ham,1-2,1.69,3.5,5.07,2006-2007_full.csv
2006/2007,Unknown,Chelsea vs Sheffield Utd,3-0,1.19,6.03,15.02,2006-2007_full.csv
2006/2007,Unknown,Middlesbrough vs Manchester City,0-2,2.07,3.22,3.65,2006-2007_full.csv
2006/2007,Unknown,Reading vs Portsmouth,0-0,1.97,3.3,3.85,2006-2007_full.csv
2006/2007,Unknown,Tottenham vs Watford,3-1,1.46,3.9,7.8,2006-2007_full.csv
2006/2007,Unknown,Wigan vs Fulham,0-0,2.11,3.25,3.43,2006-2007_full.csv
2006/2007,Unknown,Manchester Utd vs Bolton,4-1,1.35,4.55,9.17,2006-2007_full.csv
2006/2007,Unknown,Manchester City vs Chelsea,0-1,7.17,3.9,1.49,2006-2007_full.csv
2006/2007,Unknown,Aston Villa vs Arsenal,0-1,3.62,3.18,2.1,2006-2007_full.csv
2006/2007,Unknown,West Ham vs Tottenham,3-4,3.35,3.24,2.13,2006-2007_full.csv
2006/2007,Unknown,Bolton vs Blackburn,1-2,2.03,3.18,3.77,2006-2007_full.csv
2006/2007,Unknown,Portsmouth vs Chelsea,0-2,6.08,3.62,1.58,2006-2007_full.csv
2006/2007,Unknown,Arsenal vs Reading,2-1,1.52,3.77,6.7,2006-2007_full.csv
2006/2007,Unknown,Fulham vs Aston Villa,1-1,2.38,3.15,2.99,2006-2007_full.csv
2006/2007,Unknown,Manchester City vs Wigan,0-1,2.0,3.25,3.8,2006-2007_full.csv
2006/2007,Unknown,Newcastle vs Middlesbrough,0-0,2.0,3.23,3.76,2006-2007_full.csv
2006/2007,Unknown,Sheffield Utd vs Everton,1-1,2.75,3.15,2.55,2006-2007_full.csv
2006/2007,Unknown,Watford vs Charlton,2-2,2.59,3.2,2.67,2006-2007_full.csv
2006/2007,Unknown,Liverpool vs Manchester Utd,0-1,2.63,3.08,2.8,2006-2007_full.csv
2006/2007,Unknown,Blackburn vs Portsmouth,3-0,2.21,3.19,3.26,2006-2007_full.csv
2006/2007,Unknown,Tottenham vs Bolton,4-1,2.05,3.26,3.6,2006-2007_full.csv
2006/2007,Unknown,Wigan vs Newcastle,1-0,2.38,3.23,2.92,2006-2007_full.csv
2006/2007,Unknown,Watford vs Everton,0-3,3.09,3.21,2.29,2006-2007_full.csv
2006/2007,Unknown,Charlton vs West Ham,4-0,2.32,3.2,3.01,2006-2007_full.csv
2006/2007,Unknown,Liverpool vs Sheffield Utd,4-0,1.31,4.84,9.67,2006-2007_full.csv
2006/2007,Unknown,Middlesbrough vs Reading,2-1,2.28,3.22,3.1,2006-2007_full.csv
2006/2007,Unknown,Fulham vs Manchester Utd,1-2,7.58,4.0,1.44,2006-2007_full.csv
2006/2007,Unknown,Everton vs Tottenham,1-2,2.26,3.15,3.22,2006-2007_full.csv
2006/2007,Unknown,Watford vs Wigan,1-1,2.5,3.2,2.82,2006-2007_full.csv
2006/2007,Unknown,Arsenal vs Wigan,2-1,1.25,5.56,11.31,2006-2007_full.csv
2006/2007,Unknown,Bolton vs Fulham,2-1,1.69,3.46,5.27,2006-2007_full.csv
2006/2007,Unknown,Portsmouth vs Manchester City,2-1,1.99,3.23,3.84,2006-2007_full.csv
2006/2007,Unknown,Chelsea vs Middlesbrough,3-0,1.24,5.38,11.23,2006-2007_full.csv
2006/2007,Unknown,Everton vs Blackburn,1-0,2.11,3.21,3.49,2006-2007_full.csv
2006/2007,Unknown,Manchester Utd vs Charlton,2-0,1.14,6.69,18.17,2006-2007_full.csv
2006/2007,Unknown,Newcastle vs Liverpool,2-1,4.23,3.36,1.85,2006-2007_full.csv
2006/2007,Unknown,Sheffield Utd vs Tottenham,2-1,2.91,3.19,2.4,2006-2007_full.csv
2006/2007,Unknown,West Ham vs Watford,0-1,1.77,3.43,4.55,2006-2007_full.csv
2006/2007,Unknown,Reading vs Aston Villa,2-0,2.22,3.24,3.2,2006-2007_full.csv
2006/2007,Unknown,Tottenham vs Manchester Utd,0-4,4.54,3.44,1.77,2006-2007_full.csv
2006/2007,Unknown,Middlesbrough vs Arsenal,1-1,4.73,3.4,1.77,2006-2007_full.csv
2006/2007,Unknown,Aston Villa vs West Ham,1-0,1.86,3.37,4.28,2006-2007_full.csv
2006/2007,Unknown,Blackburn vs Sheffield Utd,2-1,1.7,3.47,5.13,2006-2007_full.csv
2006/2007,Unknown,Charlton vs Chelsea,0-1,8.59,4.36,1.38,2006-2007_full.csv
2006/2007,Unknown,Fulham vs Newcastle,2-1,2.37,3.22,2.93,2006-2007_full.csv
2006/2007,Unknown,Manchester City vs Reading,0-2,2.17,3.25,3.27,2006-2007_full.csv
2006/2007,Unknown,Watford vs Bolton,0-1,3.38,3.22,2.14,2006-2007_full.csv
2006/2007,Unknown,Wigan vs Portsmouth,1-0,2.59,3.16,2.69,2006-2007_full.csv
2006/2007,Unknown,Liverpool vs Everton,0-0,1.52,3.63,6.92,2006-2007_full.csv
2006/2007,Unknown,Bolton vs Charlton,1-1,1.53,3.72,6.69,2006-2007_full.csv
2006/2007,Unknown,Manchester Utd vs Watford,4-0,1.14,6.76,17.66,2006-2007_full.csv
2006/2007,Unknown,Newcastle vs Aston Villa,3-1,2.19,3.14,3.25,2006-2007_full.csv
2006/2007,Unknown,Chelsea vs Blackburn,3-0,1.31,4.8,9.67,2006-2007_full.csv
2006/2007,Unknown,Reading vs Wigan,3-2,1.8,3.38,4.56,2006-2007_full.csv
2006/2007,Unknown,Portsmouth vs Middlesbrough,0-0,1.88,3.35,4.15,2006-2007_full.csv
2006/2007,Unknown,Sheffield Utd vs Fulham,2-0,2.38,3.18,2.97,2006-2007_full.csv
2006/2007,Unknown,West Ham vs Liverpool,1-2,5.55,3.53,1.64,2006-2007_full.csv
2006/2007,Unknown,Watford vs Blackburn,2-1,3.32,3.23,2.18,2006-2007_full.csv
2006/2007,Unknown,Arsenal vs Manchester Utd,2-1,2.56,3.17,2.75,2006-2007_full.csv
2006/2007,Unknown,Wigan vs Everton,0-2,2.58,3.18,2.73,2006-2007_full.csv
2006/2007,Unknown,Manchester City vs Blackburn,0-3,2.35,3.18,3.05,2006-2007_full.csv
2006/2007,Unknown,Aston Villa vs Watford,2-0,1.68,3.48,5.37,2006-2007_full.csv
2006/2007,Unknown,Fulham vs Tottenham,1-1,3.2,3.3,2.29,2006-2007_full.csv
2006/2007,Unknown,Middlesbrough vs Bolton,5-1,2.63,3.25,2.7,2006-2007_full.csv
2006/2007,Unknown,Newcastle vs West Ham,2-2,1.89,3.33,4.16,2006-2007_full.csv
2006/2007,Unknown,Portsmouth vs Charlton,0-1,1.51,3.78,7.0,2006-2007_full.csv
2006/2007,Unknown,Reading vs Sheffield Utd,3-1,1.85,3.37,4.39,2006-2007_full.csv
2006/2007,Unknown,Liverpool vs Chelsea,2-0,2.78,3.07,2.59,2006-2007_full.csv
2006/2007,Unknown,Tottenham vs Newcastle,2-3,1.77,3.38,4.82,2006-2007_full.csv
2006/2007,Unknown,Everton vs Reading,1-1,2.03,3.27,3.7,2006-2007_full.csv
2006/2007,Unknown,Blackburn vs Arsenal,0-2,4.23,3.48,1.85,2006-2007_full.csv
2006/2007,Unknown,Bolton vs Manchester City,0-0,1.75,3.45,4.95,2006-2007_full.csv
2006/2007,Unknown,Charlton vs Middlesbrough,1-3,2.46,3.22,2.83,2006-2007_full.csv
2006/2007,Unknown,Chelsea vs Wigan,4-0,1.22,5.68,13.65,2006-2007_full.csv
2006/2007,Unknown,Manchester Utd vs Aston Villa,3-1,1.26,5.39,11.45,2006-2007_full.csv
2006/2007,Unknown,Sheffield Utd vs Portsmouth,1-1,2.6,3.21,2.68,2006-2007_full.csv
2006/2007,Unknown,West Ham vs Fulham,3-3,2.03,3.32,3.68,2006-2007_full.csv
2006/2007,Unknown,Watford vs Liverpool,0-3,7.07,3.78,1.51,2006-2007_full.csv
2006/2007,Unknown,Aston Villa vs Chelsea,0-0,7.05,3.68,1.53,2006-2007_full.csv
2006/2007,Unknown,Arsenal vs Charlton,4-0,1.25,5.43,12.0,2006-2007_full.csv
2006/2007,Unknown,Newcastle vs Manchester Utd,2-2,6.4,3.65,1.55,2006-2007_full.csv
2006/2007,Unknown,Fulham vs Watford,0-0,1.83,3.33,4.52,2006-2007_full.csv
2006/2007,Unknown,Manchester City vs Everton,2-1,2.35,3.22,3.02,2006-2007_full.csv
2006/2007,Unknown,Middlesbrough vs Sheffield Utd,3-1,1.83,3.35,4.45,2006-2007_full.csv
2006/2007,Unknown,Portsmouth vs Tottenham,1-1,2.38,3.08,3.03,2006-2007_full.csv
2006/2007,Unknown,Reading vs West Ham,6-0,2.07,3.25,3.52,2006-2007_full.csv
2006/2007,Unknown,Wigan vs Blackburn,0-3,2.4,3.18,2.9,2006-2007_full.csv
2006/2007,Unknown,Liverpool vs Bolton,3-0,1.59,3.65,6.08,2006-2007_full.csv
2006/2007,Unknown,Sheffield Utd vs Arsenal,1-0,6.83,3.83,1.51,2006-2007_full.csv
2006/2007,Unknown,Blackburn vs Middlesbrough,2-1,1.9,3.27,4.2,2006-2007_full.csv
2006/2007,Unknown,Bolton vs Portsmouth,3-2,1.91,3.3,4.12,2006-2007_full.csv
2006/2007,Unknown,Chelsea vs Fulham,2-2,1.17,6.17,17.67,2006-2007_full.csv
2006/2007,Unknown,Everton vs Newcastle,3-0,2.12,3.24,3.45,2006-2007_full.csv
2006/2007,Unknown,Manchester Utd vs Reading,3-2,1.2,5.95,14.67,2006-2007_full.csv
2006/2007,Unknown,Tottenham vs Liverpool,0-1,3.0,3.18,2.43,2006-2007_full.csv
2006/2007,Unknown,West Ham vs Manchester City,0-1,2.11,3.22,3.48,2006-2007_full.csv
2006/2007,Unknown,Charlton vs Aston Villa,2-1,2.6,3.22,2.68,2006-2007_full.csv
2006/2007,Unknown,Charlton vs Fulham,2-2,2.36,3.23,3.03,2006-2007_full.csv
2006/2007,Unknown,Watford vs Arsenal,1-2,7.57,3.96,1.46,2006-2007_full.csv
2006/2007,Unknown,Blackburn vs Liverpool,1-0,4.39,3.38,1.83,2006-2007_full.csv
2006/2007,Unknown,Bolton vs Newcastle,2-1,1.94,3.32,3.97,2006-2007_full.csv
2006/2007,Unknown,Everton vs Middlesbrough,0-0,1.87,3.3,4.32,2006-2007_full.csv
2006/2007,Unknown,Manchester Utd vs Wigan,3-1,1.18,5.97,17.0,2006-2007_full.csv
2006/2007,Unknown,Sheffield Utd vs Manchester City,0-1,2.39,3.2,2.97,2006-2007_full.csv
2006/2007,Unknown,Chelsea vs Reading,2-2,1.19,5.86,16.31,2006-2007_full.csv
2006/2007,Unknown,Tottenham vs Aston Villa,2-1,1.77,3.35,4.88,2006-2007_full.csv
2006/2007,Unknown,West Ham vs Portsmouth,1-2,2.28,3.25,3.12,2006-2007_full.csv
2006/2007,Unknown,Wigan vs Chelsea,2-3,8.67,4.24,1.4,2006-2007_full.csv
2006/2007,Unknown,Arsenal vs Blackburn,6-2,1.34,4.7,9.09,2006-2007_full.csv
2006/2007,Unknown,Aston Villa vs Manchester Utd,0-3,6.37,3.8,1.59,2006-2007_full.csv
2006/2007,Unknown,Liverpool vs Watford,2-0,1.2,5.83,15.0,2006-2007_full.csv
2006/2007,Unknown,Manchester City vs Bolton,0-2,2.35,3.2,3.0,2006-2007_full.csv
2006/2007,Unknown,Middlesbrough vs Charlton,2-0,1.69,3.45,5.25,2006-2007_full.csv
2006/2007,Unknown,Newcastle vs Tottenham,3-1,2.43,3.2,2.9,2006-2007_full.csv
2006/2007,Unknown,Portsmouth vs Sheffield Utd,3-1,1.69,3.43,5.33,2006-2007_full.csv
2006/2007,Unknown,Reading vs Everton,0-2,2.23,3.22,3.15,2006-2007_full.csv
2006/2007,Unknown,Fulham vs West Ham,0-0,2.45,3.22,2.83,2006-2007_full.csv
2006/2007,Unknown,Fulham vs Middlesbrough,2-1,2.24,3.23,3.27,2006-2007_full.csv
2006/2007,Unknown,West Ham vs Manchester Utd,1-0,7.63,3.85,1.46,2006-2007_full.csv
2006/2007,Unknown,Manchester City vs Tottenham,1-2,2.44,3.21,2.87,2006-2007_full.csv
2006/2007,Unknown,Everton vs Chelsea,2-3,7.15,3.63,1.53,2006-2007_full.csv
2006/2007,Unknown,Aston Villa vs Bolton,0-1,2.47,3.13,2.92,2006-2007_full.csv
2006/2007,Unknown,Arsenal vs Portsmouth,2-2,1.4,4.22,8.58,2006-2007_full.csv
2006/2007,Unknown,Newcastle vs Watford,2-1,1.63,3.48,5.97,2006-2007_full.csv
2006/2007,Unknown,Reading vs Blackburn,1-2,2.1,3.29,3.71,2006-2007_full.csv
2006/2007,Unknown,Wigan vs Sheffield Utd,0-1,1.83,3.33,4.53,2006-2007_full.csv
2006/2007,Unknown,Charlton vs Liverpool,0-3,6.08,3.68,1.58,2006-2007_full.csv
2006/2007,Unknown,Chelsea vs Newcastle,1-0,1.21,5.83,14.0,2006-2007_full.csv
2006/2007,Unknown,Wigan vs Arsenal,0-1,4.65,3.43,1.77,2006-2007_full.csv
2006/2007,Unknown,Sheffield Utd vs Aston Villa,2-2,2.78,3.1,2.58,2006-2007_full.csv
2006/2007,Unknown,Chelsea vs Arsenal,1-1,1.66,3.48,5.75,2006-2007_full.csv
2006/2007,Unknown,Bolton vs West Ham,4-0,1.77,3.36,4.73,2006-2007_full.csv
2006/2007,Unknown,Blackburn vs Newcastle,1-3,2.11,3.22,3.48,2006-2007_full.csv
2006/2007,Unknown,Liverpool vs Fulham,4-0,1.29,4.85,10.92,2006-2007_full.csv
2006/2007,Unknown,Middlesbrough vs Wigan,1-1,2.08,3.23,3.53,2006-2007_full.csv
2006/2007,Unknown,Portsmouth vs Everton,2-0,2.15,3.17,3.45,2006-2007_full.csv
2006/2007,Unknown,Tottenham vs Charlton,5-1,1.5,3.9,6.67,2006-2007_full.csv
2006/2007,Unknown,Watford vs Reading,0-0,2.55,3.2,2.7,2006-2007_full.csv
2006/2007,Unknown,Manchester Utd vs Manchester City,3-1,1.35,4.51,9.21,2006-2007_full.csv
2006/2007,Unknown,Newcastle vs Reading,3-2,2.04,3.23,3.63,2006-2007_full.csv
2006/2007,Unknown,West Ham vs Wigan,0-2,1.98,3.27,3.8,2006-2007_full.csv
2006/2007,Unknown,Charlton vs Blackburn,1-0,2.66,3.17,2.63,2006-2007_full.csv
2006/2007,Unknown,Tottenham vs Middlesbrough,2-1,1.67,3.48,5.43,2006-2007_full.csv
2006/2007,Unknown,Manchester City vs Watford,0-0,1.53,3.63,6.92,2006-2007_full.csv
2006/2007,Unknown,Everton vs West Ham,2-0,1.99,3.21,3.86,2006-2007_full.csv
2006/2007,Unknown,Middlesbrough vs Manchester Utd,1-2,5.93,3.68,1.59,2006-2007_full.csv
2006/2007,Unknown,Blackburn vs Fulham,2-0,1.85,3.36,4.32,2006-2007_full.csv
2006/2007,Unknown,Portsmouth vs Aston Villa,2-2,2.17,3.2,3.36,2006-2007_full.csv
2006/2007,Unknown,Reading vs Bolton,1-0,2.42,3.22,2.9,2006-2007_full.csv
2006/2007,Unknown,Sheffield Utd vs Charlton,2-1,2.25,3.16,3.18,2006-2007_full.csv
2006/2007,Unknown,Wigan vs Liverpool,0-4,3.98,3.24,1.97,2006-2007_full.csv
2006/2007,Unknown,Arsenal vs Tottenham,3-0,1.7,3.47,5.23,2006-2007_full.csv
2006/2007,Unknown,Bolton vs Chelsea,0-1,5.59,3.49,1.65,2006-2007_full.csv
2006/2007,Unknown,Liverpool vs Portsmouth,0-0,1.4,4.16,8.44,2006-2007_full.csv
2006/2007,Unknown,Manchester Utd vs Everton,3-0,1.3,4.85,10.19,2006-2007_full.csv
2006/2007,Unknown,Aston Villa vs Manchester City,1-3,2.07,3.14,3.63,2006-2007_full.csv
2006/2007,Unknown,Fulham vs Arsenal,2-1,6.82,3.68,1.52,2006-2007_full.csv
2006/2007,Unknown,Watford vs Sheffield Utd,0-1,2.18,3.17,3.31,2006-2007_full.csv
2006/2007,Unknown,Manchester Utd vs Chelsea,1-1,2.54,3.07,2.97,2006-2007_full.csv
2006/2007,Unknown,Tottenham vs Wigan,3-1,1.76,3.39,4.72,2006-2007_full.csv
2006/2007,Unknown,Newcastle vs Portsmouth,1-0,2.2,3.17,3.31,2006-2007_full.csv
2006/2007,Unknown,Bolton vs Arsenal,3-1,3.44,3.24,2.12,2006-2007_full.csv
2006/2007,Unknown,Aston Villa vs Middlesbrough,1-1,1.79,3.36,4.6,2006-2007_full.csv
2006/2007,Unknown,Fulham vs Reading,0-1,2.26,3.26,3.09,2006-2007_full.csv
2006/2007,Unknown,Liverpool vs Manchester City,1-0,1.42,4.11,8.14,2006-2007_full.csv
2006/2007,Unknown,West Ham vs Sheffield Utd,1-0,1.72,3.44,4.93,2006-2007_full.csv
2006/2007,Unknown,Charlton vs Everton,1-1,2.67,3.19,2.6,2006-2007_full.csv
2006/2007,Unknown,Blackburn vs Tottenham,1-1,2.47,3.22,2.83,2006-2007_full.csv
2006/2007,Unknown,Wigan vs Aston Villa,0-0,2.4,3.23,2.95,2006-2007_full.csv
2006/2007,Unknown,Middlesbrough vs Liverpool,0-0,3.73,3.25,2.01,2006-2007_full.csv
2006/2007,Unknown,Arsenal vs Newcastle,1-1,1.29,5.02,10.83,2006-2007_full.csv
2006/2007,Unknown,Chelsea vs West Ham,1-0,1.21,6.03,13.39,2006-2007_full.csv
2006/2007,Unknown,Everton vs Bolton,1-0,2.29,3.19,3.09,2006-2007_full.csv
2006/2007,Unknown,Portsmouth vs Watford,2-1,1.59,3.65,5.89,2006-2007_full.csv
2006/2007,Unknown,Reading vs Charlton,2-0,1.92,3.33,3.97,2006-2007_full.csv
2006/2007,Unknown,Sheffield Utd vs Manchester Utd,1-2,9.48,4.58,1.34,2006-2007_full.csv
2006/2007,Unknown,Manchester City vs Fulham,3-1,2.08,3.23,3.55,2006-2007_full.csv
2006/2007,Unknown,Arsenal vs Liverpool,3-0,2.03,3.22,3.72,2006-2007_full.csv
2006/2007,Unknown,Reading vs Tottenham,3-1,3.17,3.22,2.25,2006-2007_full.csv
2006/2007,Unknown,Blackburn vs Manchester Utd,0-1,5.83,3.58,1.62,2006-2007_full.csv
2006/2007,Unknown,Chelsea vs Watford,4-0,1.14,6.81,18.28,2006-2007_full.csv
2006/2007,Unknown,Everton vs Aston Villa,0-1,2.13,3.17,3.48,2006-2007_full.csv
2006/2007,Unknown,Middlesbrough vs West Ham,1-0,2.22,3.23,3.19,2006-2007_full.csv
2006/2007,Unknown,Portsmouth vs Fulham,1-1,1.83,3.38,4.34,2006-2007_full.csv
2006/2007,Unknown,Sheffield Utd vs Bolton,2-2,3.03,3.21,2.32,2006-2007_full.csv
2006/2007,Unknown,Wigan vs Charlton,3-2,1.9,3.31,4.11,2006-2007_full.csv
2006/2007,Unknown,Manchester City vs Newcastle,0-0,2.06,3.23,3.6,2006-2007_full.csv
2006/2007,Unknown,Tottenham vs Chelsea,2-1,5.25,3.43,1.71,2006-2007_full.csv
2006/2007,Unknown,Aston Villa vs Blackburn,2-0,2.03,3.2,3.77,2006-2007_full.csv
2006/2007,Unknown,West Ham vs Arsenal,1-0,6.7,3.63,1.54,2006-2007_full.csv
2006/2007,Unknown,Newcastle vs Sheffield Utd,0-1,1.69,3.48,5.22,2006-2007_full.csv
2006/2007,Unknown,Bolton vs Wigan,0-1,1.87,3.28,4.43,2006-2007_full.csv
2006/2007,Unknown,Charlton vs Manchester City,1-0,2.39,3.24,2.92,2006-2007_full.csv
2006/2007,Unknown,Liverpool vs Reading,2-0,1.31,4.63,10.43,2006-2007_full.csv
2006/2007,Unknown,Manchester Utd vs Portsmouth,3-0,1.29,4.94,10.13,2006-2007_full.csv
2006/2007,Unknown,Watford vs Middlesbrough,2-0,2.43,3.2,2.88,2006-2007_full.csv
2006/2007,Unknown,Fulham vs Everton,1-0,2.72,3.17,2.6,2006-2007_full.csv
2006/2007,Unknown,Manchester City vs Middlesbrough,1-0,2.23,3.22,3.2,2006-2007_full.csv
2006/2007,Unknown,West Ham vs Blackburn,2-1,2.43,3.23,2.87,2006-2007_full.csv
2006/2007,Unknown,Newcastle vs Charlton,0-0,1.76,3.43,4.75,2006-2007_full.csv
2006/2007,Unknown,Arsenal vs Everton,1-1,1.37,4.39,9.06,2006-2007_full.csv
2006/2007,Unknown,Bolton vs Manchester Utd,0-4,4.32,3.27,1.87,2006-2007_full.csv
2006/2007,Unknown,Fulham vs Wigan,0-1,2.13,3.21,3.45,2006-2007_full.csv
2006/2007,Unknown,Liverpool vs Aston Villa,3-1,1.56,3.56,6.58,2006-2007_full.csv
2006/2007,Unknown,Portsmouth vs Reading,3-1,1.83,3.31,4.45,2006-2007_full.csv
2006/2007,Unknown,Watford vs Tottenham,0-0,3.67,3.28,2.02,2006-2007_full.csv
2006/2007,Unknown,Sheffield Utd vs Chelsea,0-2,10.92,4.81,1.3,2006-2007_full.csv
2006/2007,Unknown,Reading vs Arsenal,0-4,6.04,3.61,1.6,2006-2007_full.csv
2006/2007,Unknown,Blackburn vs Bolton,0-1,2.38,3.18,2.99,2006-2007_full.csv
2006/2007,Unknown,Middlesbrough vs Newcastle,1-0,2.36,3.17,3.02,2006-2007_full.csv
2006/2007,Unknown,Tottenham vs West Ham,1-0,1.74,3.44,4.97,2006-2007_full.csv
2006/2007,Unknown,Manchester Utd vs Liverpool,2-0,1.9,3.18,4.38,2006-2007_full.csv
2006/2007,Unknown,Aston Villa vs Fulham,1-1,1.71,3.43,5.28,2006-2007_full.csv
2006/2007,Unknown,Charlton vs Watford,0-0,1.98,3.31,3.83,2006-2007_full.csv
2006/2007,Unknown,Chelsea vs Portsmouth,2-1,1.26,5.35,11.09,2006-2007_full.csv
2006/2007,Unknown,Everton vs Sheffield Utd,2-0,1.58,3.6,6.3,2006-2007_full.csv
2006/2007,Unknown,Wigan vs Manchester City,4-0,2.31,3.23,3.05,2006-2007_full.csv
2006/2007,Unknown,Fulham vs Charlton,2-1,2.05,3.23,3.73,2006-2007_full.csv
2006/2007,Unknown,Newcastle vs Bolton,1-2,2.29,3.18,3.13,2006-2007_full.csv
2006/2007,Unknown,Reading vs Chelsea,0-1,7.13,3.92,1.48,2006-2007_full.csv
