season,date,match_name,result,h_odd,d_odd,a_odd
2015/2016,Unknown,Manchester Utd vs Bournemouth,3-1,1.49,4.59,7.03
2015/2016,Unknown,Arsenal vs Aston Villa,4-0,1.11,11.3,23.6
2015/2016,Unknown,Chelsea vs Leicester,1-1,2.0,3.88,3.64
2015/2016,Unknown,Everton vs Norwich,3-0,1.72,4.21,4.66
2015/2016,Unknown,Newcastle vs Tottenham,5-1,5.16,4.09,1.68
2015/2016,Unknown,Southampton vs Crystal Palace,4-1,1.27,6.51,11.2
2015/2016,Unknown,Stoke vs West Ham,2-1,2.98,3.87,2.28
2015/2016,Unknown,Swansea vs Manchester City,1-1,6.94,4.99,1.45
2015/2016,Unknown,Watford vs Sunderland,2-2,1.64,4.32,5.24
2015/2016,Unknown,West Brom vs Liverpool,1-1,2.59,3.58,2.71
2015/2016,Unknown,Liverpool vs Chelsea,1-1,1.69,4.31,4.77
2015/2016,Unknown,Norwich vs Watford,4-2,1.85,3.9,4.26
2015/2016,Unknown,Sunderland vs Everton,3-0,1.84,3.9,4.27
2015/2016,Unknown,West Ham vs Manchester Utd,3-2,3.04,3.59,2.34
2015/2016,Unknown,Liverpool vs Watford,2-0,1.55,4.39,6.19
2015/2016,Unknown,Manchester City vs Arsenal,2-2,2.22,3.57,3.29
2015/2016,Unknown,Tottenham vs Southampton,1-2,2.2,3.42,3.47
2015/2016,Unknown,Leicester vs Everton,3-1,1.86,3.93,3.96
2015/2016,Unknown,Aston Villa vs Newcastle,0-0,5.06,4.03,1.7
2015/2016,Unknown,Bournemouth vs West Brom,1-1,1.91,3.61,4.27
2015/2016,Unknown,Crystal Palace vs Stoke,2-1,2.02,3.47,4.0
2015/2016,Unknown,Sunderland vs Chelsea,3-2,3.16,3.58,2.27
2015/2016,Unknown,West Ham vs Swansea,1-4,1.34,5.59,9.29
2015/2016,Unknown,Norwich vs Manchester Utd,0-1,3.91,3.49,2.03
2015/2016,Unknown,Chelsea vs Tottenham,2-2,2.56,3.5,2.77
2015/2016,Unknown,Southampton vs Manchester City,4-2,2.42,3.48,2.99
2015/2016,Unknown,Manchester Utd vs Leicester,1-1,2.0,3.5,4.3
2015/2016,Unknown,Swansea vs Liverpool,3-1,3.49,3.53,2.16
2015/2016,Unknown,Arsenal vs Norwich,1-0,1.25,6.4,12.72
2015/2016,Unknown,Everton vs Bournemouth,2-1,2.41,3.66,2.89
2015/2016,Unknown,Newcastle vs Crystal Palace,1-0,2.12,3.47,3.63
2015/2016,Unknown,Stoke vs Sunderland,1-1,2.95,3.36,2.5
2015/2016,Unknown,Watford vs Aston Villa,3-2,1.73,3.77,5.29
2015/2016,Unknown,West Brom vs West Ham,0-3,3.92,3.51,2.02
2015/2016,Unknown,Tottenham vs West Brom,1-1,1.21,7.01,15.04
2015/2016,Unknown,Leicester vs Swansea,4-0,1.7,3.8,5.5
2015/2016,Unknown,Sunderland vs Arsenal,0-0,5.41,4.19,1.64
2015/2016,Unknown,Aston Villa vs Southampton,2-4,6.84,4.24,1.53
2015/2016,Unknown,Bournemouth vs Chelsea,1-4,3.42,3.62,2.15
2015/2016,Unknown,Liverpool vs Newcastle,2-2,1.51,4.66,6.51
2015/2016,Unknown,Manchester City vs Stoke,4-0,1.3,5.95,10.67
2015/2016,Unknown,Arsenal vs West Brom,2-0,1.25,6.36,13.05
2015/2016,Unknown,Liverpool vs Everton,4-0,1.69,4.04,5.19
2015/2016,Unknown,Manchester Utd vs Crystal Palace,2-0,1.43,4.61,8.58
2015/2016,Unknown,West Ham vs Watford,3-1,1.45,4.69,7.75
