season,date,match_name,result,h_odd,d_odd,a_odd
2006/2007,Unknown,Blackburn vs Reading,3-3,1.88,3.45,3.93
2006/2007,Unknown,Bolton vs Aston Villa,2-2,2.12,3.22,3.38
2006/2007,Unknown,Chelsea vs Everton,1-1,1.69,3.4,5.3
2006/2007,Unknown,Manchester Utd vs West Ham,0-1,1.7,3.4,5.02
2006/2007,Unknown,Middlesbrough vs Fulham,3-1,1.84,3.38,4.25
2006/2007,Unknown,Portsmouth vs Arsenal,0-0,2.75,3.33,2.43
2006/2007,Unknown,Sheffield Utd vs Wigan,1-2,2.25,3.37,2.97
2006/2007,Unknown,Tottenham vs Manchester City,2-1,1.47,3.89,7.3
2006/2007,Unknown,Watford vs Newcastle,1-1,2.6,3.28,2.6
2006/2007,Unknown,Tottenham vs Blackburn,1-1,1.78,3.45,4.42
2006/2007,Unknown,Charlton vs Tottenham,0-2,3.27,3.43,2.1
2006/2007,Unknown,Arsenal vs Chelsea,1-1,2.51,3.25,2.75
2006/2007,Unknown,Aston Villa vs Sheffield Utd,3-0,1.93,3.23,4.02
2006/2007,Unknown,Everton vs Portsmouth,3-0,1.95,3.32,3.87
2006/2007,Unknown,Fulham vs Liverpool,1-0,2.68,3.27,2.53
2006/2007,Unknown,Newcastle vs Blackburn,0-2,2.31,3.27,2.97
2006/2007,Unknown,Reading vs Watford,0-2,1.41,4.23,7.83
2006/2007,Unknown,West Ham vs Bolton,3-1,2.06,3.38,3.38
2006/2007,Unknown,Wigan vs Middlesbrough,0-1,2.1,3.25,3.45
2006/2007,Unknown,Manchester City vs Manchester Utd,0-1,6.73,3.8,1.52
2006/2007,Unknown,Reading vs Newcastle,1-0,1.96,3.31,3.81
2006/2007,Unknown,Arsenal vs Fulham,3-1,1.36,4.35,9.17
2006/2007,Unknown,Blackburn vs Charlton,4-1,1.97,3.32,3.98
2006/2007,Unknown,Manchester City vs Aston Villa,0-2,2.26,3.2,3.13
2006/2007,Unknown,Middlesbrough vs Tottenham,2-3,2.75,3.23,2.52
2006/2007,Unknown,Portsmouth vs Liverpool,2-1,2.83,3.15,2.52
2006/2007,Unknown,Sheffield Utd vs Watford,1-0,1.57,3.7,6.07
2006/2007,Unknown,Wigan vs West Ham,0-3,2.28,3.23,3.07
2006/2007,Unknown,Chelsea vs Bolton,2-2,1.27,5.0,11.0
2006/2007,Unknown,Everton vs Manchester Utd,2-4,5.03,3.55,1.69
2006/2007,Unknown,Aston Villa vs Portsmouth,0-0,2.13,3.2,3.43
2006/2007,Unknown,Newcastle vs Chelsea,0-0,7.57,3.87,1.47
2006/2007,Unknown,Manchester Utd vs Middlesbrough,1-1,1.2,5.91,13.64
2006/2007,Unknown,Bolton vs Reading,1-3,1.78,3.45,4.55
2006/2007,Unknown,Charlton vs Sheffield Utd,1-1,2.01,3.25,3.73
2006/2007,Unknown,Fulham vs Blackburn,1-1,2.31,3.18,3.08
2006/2007,Unknown,Liverpool vs Wigan,2-0,1.4,4.33,8.17
2006/2007,Unknown,Watford vs Manchester City,1-1,2.76,3.24,2.49
2006/2007,Unknown,West Ham vs Everton,1-0,2.45,3.25,2.82
2006/2007,Unknown,Tottenham vs Arsenal,2-2,2.73,3.22,2.57
2006/2007,Unknown,Blackburn vs Watford,3-1,1.59,3.5,6.06
2006/2007,Unknown,Liverpool vs Middlesbrough,2-0,1.36,4.35,9.0
2006/2007,Unknown,West Ham vs Chelsea,1-4,7.01,3.83,1.49
2006/2007,Unknown,Manchester Utd vs Sheffield Utd,2-0,1.14,6.92,16.16
2006/2007,Unknown,Arsenal vs Manchester City,3-1,1.4,4.26,8.27
2006/2007,Unknown,Everton vs Charlton,2-1,1.74,3.42,4.92
2006/2007,Unknown,Wigan vs Tottenham,3-3,2.9,3.25,2.38
2006/2007,Unknown,Manchester City vs Liverpool,0-0,4.48,3.32,1.83
2006/2007,Unknown,Middlesbrough vs Aston Villa,1-3,2.27,3.18,3.2
2006/2007,Unknown,Portsmouth vs Newcastle,2-1,2.07,3.26,3.54
2006/2007,Unknown,Arsenal vs Bolton,2-1,1.68,3.5,5.4
2006/2007,Unknown,Reading vs Fulham,1-0,1.88,3.3,4.16
2006/2007,Unknown,Sheffield Utd vs West Ham,3-0,2.47,3.2,2.82
2006/2007,Unknown,Charlton vs Reading,0-0,2.13,3.22,3.35
2006/2007,Unknown,Aston Villa vs Wigan,1-1,1.97,3.23,3.95
2006/2007,Unknown,Bolton vs Everton,1-1,2.27,3.17,3.22
2006/2007,Unknown,Fulham vs Manchester City,1-3,2.23,3.22,3.25
2006/2007,Unknown,Newcastle vs Arsenal,0-0,3.43,3.22,2.15
2006/2007,Unknown,Watford vs Portsmouth,4-2,2.99,3.24,2.36
2006/2007,Unknown,Portsmouth vs Manchester Utd,2-1,6.48,3.58,1.58
2006/2007,Unknown,Arsenal vs West Ham,0-1,1.43,4.23,7.52
2006/2007,Unknown,Blackburn vs Aston Villa,1-2,2.01,3.14,3.94
2006/2007,Unknown,Middlesbrough vs Watford,4-1,1.73,3.37,5.1
2006/2007,Unknown,Reading vs Liverpool,1-2,4.22,3.33,1.88
2006/2007,Unknown,Sheffield Utd vs Newcastle,1-2,2.33,3.22,2.98
2006/2007,Unknown,Wigan vs Bolton,1-3,2.48,3.17,2.79
2006/2007,Unknown,Chelsea vs Tottenham,1-0,1.43,4.15,7.78
2006/2007,Unknown,Everton vs Fulham,4-1,1.69,3.47,5.26
2006/2007,Unknown,Manchester City vs Charlton,0-0,1.99,3.27,3.82
2006/2007,Unknown,Aston Villa vs Everton,1-1,2.32,3.15,3.12
2006/2007,Unknown,Tottenham vs Reading,1-0,1.73,3.45,5.05
2006/2007,Unknown,Watford vs Chelsea,0-1,11.25,4.7,1.31
2006/2007,Unknown,Bolton vs Sheffield Utd,1-0,1.69,3.47,5.33
2006/2007,Unknown,Charlton vs Wigan,1-0,2.21,3.19,3.33
2006/2007,Unknown,Fulham vs Portsmouth,1-1,2.29,3.21,3.14
2006/2007,Unknown,Manchester Utd vs Blackburn,4-1,1.32,4.75,11.0
2006/2007,Unknown,Newcastle vs Manchester City,0-1,2.03,3.23,3.72
2006/2007,Unknown,West Ham vs Middlesbrough,2-0,2.1,3.3,3.4
2006/2007,Unknown,Liverpool vs Arsenal,4-1,2.2,3.23,3.35
2006/2007,Unknown,Everton vs Arsenal,1-0,3.4,3.25,2.13
2006/2007,Unknown,Aston Villa vs Liverpool,0-0,4.05,3.25,1.93
2006/2007,Unknown,Charlton vs Newcastle,2-0,2.45,3.22,2.83
2006/2007,Unknown,Blackburn vs West Ham,1-2,1.69,3.5,5.07
2006/2007,Unknown,Chelsea vs Sheffield Utd,3-0,1.19,6.03,15.02
2006/2007,Unknown,Middlesbrough vs Manchester City,0-2,2.07,3.22,3.65
2006/2007,Unknown,Reading vs Portsmouth,0-0,1.97,3.3,3.85
2006/2007,Unknown,Tottenham vs Watford,3-1,1.46,3.9,7.8
2006/2007,Unknown,Wigan vs Fulham,0-0,2.11,3.25,3.43
2006/2007,Unknown,Manchester Utd vs Bolton,4-1,1.35,4.55,9.17
2006/2007,Unknown,Manchester City vs Chelsea,0-1,7.17,3.9,1.49
2006/2007,Unknown,Aston Villa vs Arsenal,0-1,3.62,3.18,2.1
2006/2007,Unknown,West Ham vs Tottenham,3-4,3.35,3.24,2.13
2006/2007,Unknown,Bolton vs Blackburn,1-2,2.03,3.18,3.77
2006/2007,Unknown,Portsmouth vs Chelsea,0-2,6.08,3.62,1.58
2006/2007,Unknown,Arsenal vs Reading,2-1,1.52,3.77,6.7
2006/2007,Unknown,Fulham vs Aston Villa,1-1,2.38,3.15,2.99
2006/2007,Unknown,Manchester City vs Wigan,0-1,2.0,3.25,3.8
