season,date,match_name,result,h_odd,d_odd,a_odd
2024/2025,Unknown,Leicester vs Liverpool,0-1,1075.0,590.0,-455.0
2024/2025,Unknown,Fulham vs Chelsea,1-2,206.0,256.0,129.0
2024/2025,Unknown,Ipswich vs Arsenal,0-4,801.0,409.0,-286.0
2024/2025,Unknown,Manchester Utd vs Wolves,0-1,154.0,243.0,175.0
2024/2025,Unknown,Aston Villa vs Newcastle,4-1,152.0,259.0,170.0
2024/2025,Unknown,Brentford vs Brighton,4-2,163.0,257.0,159.0
2024/2025,Unknown,Crystal Palace vs Bournemouth,0-0,158.0,248.0,172.0
2024/2025,Unknown,Everton vs Manchester City,0-2,304.0,263.0,-109.0
2024/2025,Unknown,West Ham vs Southampton,1-1,-167.0,328.0,437.0
2024/2025,Unknown,Newcastle vs Crystal Palace,5-0,-149.0,296.0,409.0
2024/2025,Unknown,Bournemouth vs Fulham,1-0,124.0,242.0,229.0
2024/2025,Unknown,Newcastle vs Manchester Utd,4-1,-164.0,328.0,426.0
2024/2025,Unknown,Chelsea vs Ipswich,2-2,-500.0,625.0,1253.0
2024/2025,Unknown,Liverpool vs West Ham,2-1,-357.0,488.0,956.0
2024/2025,Unknown,Wolves vs Tottenham,4-2,127.0,254.0,211.0
2024/2025,Unknown,Arsenal vs Brentford,1-1,-156.0,315.0,420.0
2024/2025,Unknown,Brighton vs Leicester,2-2,-345.0,495.0,894.0
2024/2025,Unknown,Nottingham vs Everton,0-1,-103.0,234.0,319.0
2024/2025,Unknown,Southampton vs Aston Villa,0-3,508.0,353.0,-192.0
2024/2025,Unknown,Manchester City vs Crystal Palace,5-2,-159.0,322.0,417.0
2024/2025,Unknown,Leicester vs Newcastle,0-3,612.0,363.0,-217.0
2024/2025,Unknown,Manchester Utd vs Manchester City,0-0,239.0,266.0,110.0
2024/2025,Unknown,Brentford vs Chelsea,0-0,189.0,256.0,141.0
2024/2025,Unknown,Fulham vs Liverpool,3-2,317.0,252.0,-108.0
2024/2025,Unknown,Tottenham vs Southampton,3-1,-270.0,440.0,664.0
2024/2025,Unknown,Aston Villa vs Nottingham,2-1,112.0,239.0,257.0
2024/2025,Unknown,Crystal Palace vs Brighton,2-1,152.0,238.0,181.0
2024/2025,Unknown,Ipswich vs Wolves,1-2,184.0,220.0,163.0
2024/2025,Unknown,West Ham vs Bournemouth,2-2,197.0,249.0,138.0
2024/2025,Unknown,Everton vs Arsenal,1-1,309.0,217.0,106.0
2024/2025,Unknown,Chelsea vs Tottenham,1-0,-147.0,336.0,358.0
2024/2025,Unknown,Liverpool vs Everton,1-0,-208.0,338.0,604.0
2024/2025,Unknown,Bournemouth vs Ipswich,1-2,-256.0,411.0,675.0
2024/2025,Unknown,Brighton vs Aston Villa,0-3,135.0,249.0,202.0
2024/2025,Unknown,Manchester City vs Leicester,2-0,-500.0,655.0,1212.0
2024/2025,Unknown,Newcastle vs Brentford,2-1,-149.0,332.0,367.0
2024/2025,Unknown,Southampton vs Crystal Palace,1-1,467.0,304.0,-164.0
2024/2025,Unknown,Nottingham vs Manchester Utd,1-0,135.0,239.0,211.0
2024/2025,Unknown,Arsenal vs Fulham,2-1,-204.0,315.0,645.0
2024/2025,Unknown,Wolves vs West Ham,1-0,136.0,225.0,221.0
2024/2025,Unknown,Leicester vs Manchester Utd,0-3,351.0,276.0,-125.0
2024/2025,Unknown,Arsenal vs Chelsea,1-0,-139.0,267.0,421.0
2024/2025,Unknown,Fulham vs Tottenham,2-0,-118.0,294.0,301.0
2024/2025,Unknown,Bournemouth vs Brentford,1-2,-133.0,323.0,324.0
2024/2025,Unknown,Everton vs West Ham,1-1,112.0,223.0,281.0
2024/2025,Unknown,Ipswich vs Nottingham,2-4,297.0,256.0,-104.0
2024/2025,Unknown,Manchester City vs Brighton,2-2,-125.0,305.0,313.0
2024/2025,Unknown,Southampton vs Wolves,1-2,290.0,236.0,104.0
2024/2025,Unknown,West Ham vs Newcastle,0-1,234.0,248.0,119.0
2024/2025,Unknown,Manchester Utd vs Arsenal,1-1,407.0,257.0,-128.0
2024/2025,Unknown,Chelsea vs Leicester,1-0,-435.0,598.0,1089.0
2024/2025,Unknown,Tottenham vs Bournemouth,2-2,179.0,274.0,141.0
2024/2025,Unknown,Wolves vs Everton,1-1,183.0,198.0,184.0
2024/2025,Unknown,Brentford vs Aston Villa,0-1,116.0,288.0,212.0
2024/2025,Unknown,Brighton vs Fulham,2-1,100.0,254.0,286.0
2024/2025,Unknown,Crystal Palace vs Ipswich,1-0,-182.0,320.0,527.0
2024/2025,Unknown,Liverpool vs Southampton,3-1,-1000.0,984.0,2315.0
2024/2025,Unknown,Nottingham vs Manchester City,1-0,282.0,278.0,-106.0
2024/2025,Unknown,West Ham vs Leicester,2-0,-132.0,276.0,376.0
2024/2025,Unknown,Liverpool vs Newcastle,2-0,-270.0,446.0,668.0
2024/2025,Unknown,Brentford vs Everton,1-1,106.0,259.0,254.0
2024/2025,Unknown,Manchester Utd vs Ipswich,3-2,-200.0,351.0,538.0
2024/2025,Unknown,Nottingham vs Arsenal,0-0,324.0,244.0,-106.0
2024/2025,Unknown,Tottenham vs Manchester City,0-1,289.0,326.0,-122.0
2024/2025,Unknown,Chelsea vs Southampton,4-0,-588.0,719.0,1494.0
2024/2025,Unknown,Brighton vs Bournemouth,2-1,-103.0,287.0,263.0
2024/2025,Unknown,Crystal Palace vs Aston Villa,4-1,125.0,252.0,217.0
2024/2025,Unknown,Wolves vs Fulham,1-2,142.0,227.0,209.0
2024/2025,Unknown,Manchester City vs Liverpool,0-2,211.0,282.0,120.0
2024/2025,Unknown,Newcastle vs Nottingham,4-3,-110.0,284.0,288.0
2024/2025,Unknown,Aston Villa vs Chelsea,2-1,162.0,250.0,165.0
2024/2025,Unknown,Arsenal vs West Ham,0-1,-357.0,468.0,1086.0
2024/2025,Unknown,Bournemouth vs Wolves,0-1,-156.0,317.0,419.0
2024/2025,Unknown,Fulham vs Crystal Palace,0-2,108.0,244.0,271.0
2024/2025,Unknown,Ipswich vs Tottenham,1-4,240.0,279.0,106.0
2024/2025,Unknown,Southampton vs Brighton,0-4,469.0,348.0,-179.0
2024/2025,Unknown,Everton vs Manchester Utd,2-2,165.0,212.0,191.0
2024/2025,Unknown,Leicester vs Brentford,0-4,264.0,283.0,-102.0
2024/2025,Unknown,Aston Villa vs Liverpool,2-2,283.0,297.0,-112.0
2024/2025,Unknown,Tottenham vs Manchester Utd,1-0,119.0,285.0,208.0
2024/2025,Unknown,Liverpool vs Wolves,2-1,-435.0,597.0,1083.0
2024/2025,Unknown,Crystal Palace vs Everton,1-2,100.0,217.0,341.0
2024/2025,Unknown,Aston Villa vs Ipswich,1-1,-233.0,392.0,617.0
2024/2025,Unknown,Fulham vs Nottingham,2-1,116.0,244.0,247.0
2024/2025,Unknown,Manchester City vs Newcastle,4-0,106.0,304.0,225.0
