season,date,match_name,result,h_odd,d_odd,a_odd
2021/2022,Unknown,Arsenal vs Everton,5-1,1.34,5.56,9.02
2021/2022,Unknown,Brentford vs Leeds,1-2,2.31,3.82,2.9
2021/2022,Unknown,Brighton vs West Ham,3-1,2.66,3.49,2.66
2021/2022,Unknown,Burnley vs Newcastle,1-2,2.49,3.3,2.99
2021/2022,Unknown,Chelsea vs Watford,2-1,1.19,7.47,15.47
2021/2022,Unknown,Crystal Palace vs Manchester Utd,1-0,2.82,3.49,2.5
2021/2022,Unknown,Leicester vs Southampton,4-1,1.7,4.3,4.54
2021/2022,Unknown,Liverpool vs Wolves,3-1,1.13,9.45,19.61
2021/2022,Unknown,Manchester City vs Aston Villa,3-2,1.17,8.31,15.64
2021/2022,Unknown,Norwich vs Tottenham,0-5,9.86,5.59,1.32
2021/2022,Unknown,Aston Villa vs Burnley,1-1,2.03,3.5,3.85
2021/2022,Unknown,Chelsea vs Leicester,1-1,1.42,4.95,7.57
2021/2022,Unknown,Everton vs Crystal Palace,3-2,1.86,3.54,4.56
2021/2022,Unknown,Southampton vs Liverpool,1-2,6.7,4.91,1.46
2021/2022,Unknown,Newcastle vs Arsenal,2-0,4.24,3.81,1.85
2021/2022,Unknown,Everton vs Brentford,2-3,1.9,3.61,4.27
2021/2022,Unknown,Aston Villa vs Crystal Palace,1-1,1.85,3.56,4.56
2021/2022,Unknown,Leeds vs Brighton,1-1,2.65,3.48,2.68
2021/2022,Unknown,Watford vs Leicester,1-5,5.18,3.99,1.69
2021/2022,Unknown,West Ham vs Manchester City,2-2,8.03,5.18,1.38
2021/2022,Unknown,Wolves vs Norwich,1-1,1.54,4.47,6.07
2021/2022,Unknown,Tottenham vs Burnley,1-0,1.31,5.6,10.38
2021/2022,Unknown,Tottenham vs Arsenal,3-0,2.28,3.46,3.22
2021/2022,Unknown,Wolves vs Manchester City,1-5,11.96,6.19,1.26
2021/2022,Unknown,Leicester vs Norwich,3-0,1.34,5.63,9.04
2021/2022,Unknown,Watford vs Everton,0-0,5.74,3.79,1.66
2021/2022,Unknown,Leeds vs Chelsea,0-3,4.91,4.13,1.69
2021/2022,Unknown,Aston Villa vs Liverpool,1-2,6.48,4.57,1.5
2021/2022,Unknown,Manchester City vs Newcastle,5-0,1.17,7.99,17.17
2021/2022,Unknown,Arsenal vs Leeds,2-1,1.53,4.55,6.17
2021/2022,Unknown,Leicester vs Everton,1-2,2.67,3.25,2.8
2021/2022,Unknown,Norwich vs West Ham,0-4,4.9,4.02,1.7
2021/2022,Unknown,Liverpool vs Tottenham,1-1,1.43,5.1,7.07
2021/2022,Unknown,Brighton vs Manchester Utd,4-0,3.05,3.37,2.43
2021/2022,Unknown,Brentford vs Southampton,3-0,2.11,3.53,3.53
2021/2022,Unknown,Burnley vs Aston Villa,1-3,3.08,3.18,2.5
2021/2022,Unknown,Chelsea vs Wolves,2-2,1.37,4.93,9.34
2021/2022,Unknown,Crystal Palace vs Watford,1-0,1.69,3.85,5.36
2021/2022,Unknown,Manchester Utd vs Brentford,3-0,1.76,3.95,4.6
2021/2022,Unknown,West Ham vs Arsenal,1-2,4.41,3.96,1.8
2021/2022,Unknown,Everton vs Chelsea,1-0,5.12,3.83,1.72
2021/2022,Unknown,Tottenham vs Leicester,3-1,1.35,5.33,8.96
2021/2022,Unknown,Leeds vs Manchester City,0-4,9.51,5.81,1.32
2021/2022,Unknown,Aston Villa vs Norwich,2-0,1.42,4.83,7.88
