season,date,match_name,result,h_odd,d_odd,a_odd
2012/2013,Unknown,Chelsea vs Everton,2-1,-137.0,277.0,376.0
2012/2013,Unknown,Liverpool vs QPR,1-0,-417.0,530.0,1091.0
2012/2013,Unknown,Manchester City vs Norwich,2-3,-385.0,475.0,1067.0
2012/2013,Unknown,Newcastle vs Arsenal,0-1,505.0,338.0,-192.0
2012/2013,Unknown,Southampton vs Stoke,1-1,-149.0,266.0,455.0
2012/2013,Unknown,Swansea vs Fulham,0-3,-154.0,285.0,438.0
2012/2013,Unknown,Tottenham vs Sunderland,1-0,-435.0,509.0,1207.0
2012/2013,Unknown,West Brom vs Manchester Utd,5-5,279.0,252.0,-102.0
2012/2013,Unknown,West Ham vs Reading,4-2,-167.0,298.0,478.0
2012/2013,Unknown,Wigan vs Aston Villa,2-2,104.0,250.0,265.0
2012/2013,Unknown,Reading vs Manchester City,0-2,549.0,349.0,-204.0
2012/2013,Unknown,Arsenal vs Wigan,4-1,-270.0,434.0,658.0
2012/2013,Unknown,Manchester Utd vs Swansea,2-1,-294.0,413.0,826.0
2012/2013,Unknown,Everton vs West Ham,2-0,-196.0,313.0,582.0
2012/2013,Unknown,Fulham vs Liverpool,1-3,276.0,245.0,100.0
2012/2013,Unknown,Norwich vs West Brom,4-0,137.0,229.0,206.0
2012/2013,Unknown,QPR vs Newcastle,1-2,199.0,241.0,134.0
2012/2013,Unknown,Sunderland vs Southampton,1-1,209.0,206.0,148.0
2012/2013,Unknown,Stoke vs Tottenham,1-2,370.0,256.0,-127.0
2012/2013,Unknown,Aston Villa vs Chelsea,1-2,425.0,301.0,-156.0
2012/2013,Unknown,Chelsea vs Tottenham,2-2,-122.0,268.0,334.0
2012/2013,Unknown,Manchester City vs West Brom,1-0,-263.0,376.0,746.0
2012/2013,Unknown,Wigan vs Swansea,2-3,-130.0,269.0,359.0
2012/2013,Unknown,Sunderland vs Stoke,1-1,118.0,211.0,270.0
2012/2013,Unknown,Manchester Utd vs Chelsea,0-1,131.0,241.0,206.0
2012/2013,Unknown,Liverpool vs Everton,0-0,-108.0,250.0,301.0
2012/2013,Unknown,QPR vs Arsenal,0-1,736.0,388.0,-270.0
2012/2013,Unknown,Fulham vs Reading,2-4,-147.0,276.0,425.0
2012/2013,Unknown,Norwich vs Aston Villa,1-2,150.0,221.0,191.0
2012/2013,Unknown,Swansea vs Manchester City,0-0,388.0,267.0,-133.0
2012/2013,Unknown,Tottenham vs Southampton,1-0,-196.0,320.0,557.0
2012/2013,Unknown,West Brom vs Wigan,2-3,127.0,244.0,208.0
2012/2013,Unknown,West Ham vs Newcastle,0-0,121.0,242.0,227.0
2012/2013,Unknown,Aston Villa vs Sunderland,6-1,120.0,227.0,247.0
2012/2013,Unknown,Arsenal vs Manchester Utd,1-1,122.0,250.0,219.0
2012/2013,Unknown,Chelsea vs Swansea,2-0,-263.0,384.0,743.0
2012/2013,Unknown,Reading vs QPR,0-0,144.0,243.0,184.0
2012/2013,Unknown,Newcastle vs Liverpool,0-6,204.0,238.0,135.0
2012/2013,Unknown,Everton vs Fulham,1-0,-208.0,326.0,630.0
2012/2013,Unknown,Southampton vs West Brom,0-3,-135.0,271.0,387.0
2012/2013,Unknown,Stoke vs Norwich,1-0,110.0,214.0,291.0
2012/2013,Unknown,Wigan vs Tottenham,2-2,227.0,241.0,121.0
2012/2013,Unknown,Manchester City vs West Ham,2-1,-435.0,521.0,1218.0
2012/2013,Unknown,Manchester Utd vs Aston Villa,3-0,-435.0,541.0,1128.0
2012/2013,Unknown,Liverpool vs Chelsea,2-2,112.0,247.0,245.0
2012/2013,Unknown,Tottenham vs Manchester City,3-1,174.0,225.0,164.0
